"organ","gene_id","gene_short_name","gene_type","max.cluster","second.cluster","max.expr","second.expr","fold.change","pval","qval"
"Cerebellum","ENSG00000147509.9","RGS20","protein_coding","Astrocytes","Inhibitory interneurons",323.4124151,15.26646833,21.17128175,0,0
"Cerebellum","ENSG00000134250.13","NOTCH2","protein_coding","Astrocytes","Microglia",226.4354335,104.3948546,2.168916707,0,0
"Cerebellum","ENSG00000081026.14","MAGI3","protein_coding","Astrocytes","Microglia",273.3716243,223.0479489,1.225608079,0,0
"Cerebellum","ENSG00000197852.8","FAM212B","protein_coding","Astrocytes","Oligodendrocytes",89.23201736,72.84132394,1.224988271,2.96e-244,2.51e-243
"Cerebellum","ENSG00000092621.7","PHGDH","protein_coding","Astrocytes","Oligodendrocytes",82.11650688,27.26514488,3.011038336,5.29e-203,4.02e-202
"Cerebellum","ENSG00000168710.13","AHCYL1","protein_coding","Astrocytes","Vascular endothelial cells",127.2490042,125.8438714,1.011164796,7.75e-117,4.27e-116
"Cerebellum","ENSG00000082556.6","OPRK1","protein_coding","Astrocytes","Inhibitory interneurons",37.37173708,5.973728606,6.247231374,1.4e-115,7.66e-115
"Cerebellum","ENSG00000116874.7","WARS2","protein_coding","Astrocytes","Oligodendrocytes",54.25075955,51.5603832,1.05216902,3.92e-79,1.76e-78
"Cerebellum","ENSG00000163320.6","CGGBP1","protein_coding","Astrocytes","Unipolar brush cells",128.1967109,101.8738111,1.258361948,2.13e-62,8.4e-62
"Cerebellum","ENSG00000134201.6","GSTM5","protein_coding","Astrocytes","Vascular endothelial cells",14.78605272,7.681224595,1.923757723,4.09e-46,1.39e-45
"Cerebellum","ENSG00000164675.6","IQUB","protein_coding","Astrocytes","Purkinje neurons",20.33447383,8.700666524,2.335581758,1.53e-45,5.16e-45
"Cerebellum","ENSG00000206538.3","VGLL3","protein_coding","Astrocytes","Vascular endothelial cells",14.87145772,9.109520751,1.631824536,2.82e-42,9.17e-42
"Cerebellum","ENSG00000213366.8","GSTM2","protein_coding","Astrocytes","Microglia",10.89704711,9.658720731,1.128075514,2.9e-34,8.58e-34
"Cerebellum","ENSG00000187735.8","TCEA1","protein_coding","Astrocytes","Microglia",59.22038846,55.61009048,1.064909962,9.14e-34,2.68e-33
"Cerebellum","ENSG00000134222.12","PSRC1","protein_coding","Astrocytes","Vascular endothelial cells",9.003366961,5.976243686,1.505679928,2.38e-24,6.12e-24
"Cerebellum","ENSG00000137561.4","TTPA","protein_coding","Astrocytes","Oligodendrocytes",8.906654627,2.077787908,4.270862282,2.9e-20,6.96e-20
"Cerebellum","ENSG00000143107.4","FNDC7","protein_coding","Astrocytes","Inhibitory interneurons",5.064423454,3.63164074,1.393444279,6.98e-20,1.66e-19
"Cerebellum","ENSG00000007341.14","ST7L","protein_coding","Astrocytes","Inhibitory interneurons",95.29949565,88.93853056,1.071512874,5.74e-10,1.09e-09
"Cerebellum","ENSG00000121940.11","CLCC1","protein_coding","Astrocytes","Microglia",59.45379407,59.214929,1.004033185,5.65e-09,1.05e-08
"Cerebellum","ENSG00000162775.10","RBM15","protein_coding","Astrocytes","Vascular endothelial cells",9.822320191,9.651798677,1.017649045,2.63e-06,4.39e-06
"Cerebellum","ENSG00000173947.9","PIFO","protein_coding","Astrocytes","Microglia",2.320945424,0.811763458,2.836516275,1.47e-05,2.36e-05
"Cerebellum","ENSG00000134184.8","GSTM1","protein_coding","Astrocytes","Oligodendrocytes",1.411462857,1.029547338,1.367386366,2.48e-05,3.96e-05
"Cerebellum","ENSG00000134253.5","TRIM45","protein_coding","Astrocytes","SLC24A4_PEX5L positive cells",6.015260573,5.61105294,1.071909594,0.001727766,0.002461897
"Cerebellum","ENSG00000064703.7","DDX20","protein_coding","Astrocytes","Purkinje neurons",11.59386418,11.24235577,1.031238651,0.004298121,0.005931795
"Cerebellum","ENSG00000179902.8","C1orf194","protein_coding","Astrocytes","Vascular endothelial cells",1.297832829,0.71801951,1.796425521,0.01379831,0.018055201
"Cerebellum","ENSG00000156150.6","ALX3","protein_coding","Astrocytes","Unipolar brush cells",0.366087446,0.323992425,1.126035857,0.215412919,0.236527051
"Cerebellum","ENSG00000147488.7","ST18","protein_coding","Granule neurons","Inhibitory interneurons",528.7038791,97.02955782,5.448436606,0,0
"Cerebellum","ENSG00000185942.7","NKAIN3","protein_coding","Granule neurons","Unipolar brush cells",2109.834542,1198.902464,1.759798655,0,0
"Cerebellum","ENSG00000169855.15","ROBO1","protein_coding","Granule neurons","SLC24A4_PEX5L positive cells",5608.017587,3509.664131,1.597877004,0,0
"Cerebellum","ENSG00000185008.13","ROBO2","protein_coding","Granule neurons","SLC24A4_PEX5L positive cells",3831.738638,2687.822675,1.425590467,0,0
"Cerebellum","ENSG00000091129.15","NRCAM","protein_coding","Granule neurons","Astrocytes",995.4550959,721.6741292,1.379363984,0,0
"Cerebellum","ENSG00000171316.7","CHD7","protein_coding","Granule neurons","Unipolar brush cells",1011.659123,833.2169989,1.214157876,0,0
"Cerebellum","ENSG00000171385.5","KCND3","protein_coding","Granule neurons","Oligodendrocytes",499.3327575,446.0886614,1.119354978,0,0
"Cerebellum","ENSG00000177551.5","NHLH2","protein_coding","Granule neurons","Inhibitory interneurons",92.05512306,85.78395884,1.073095639,0,0
"Cerebellum","ENSG00000198363.11","ASPH","protein_coding","Granule neurons","Astrocytes",144.8937096,107.4538335,1.348395129,6.85e-79,3.06e-78
"Cerebellum","ENSG00000137563.7","GGH","protein_coding","Granule neurons","Unipolar brush cells",54.13242397,52.81497638,1.024939861,2.87e-43,9.45e-43
