"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Adolescent - Adult",-29.25,28.4335763610213,880,-1.02871336439048,0.842088205865277
"2","Adolescent - Child",-24.875,28.4335763610213,880,-0.874845980827804,0.906127946357051
"3","Adolescent - Infant",-38.6041666666666,28.4335763610213,880,-1.35769648448402,0.654974537212137
"4","Adolescent - Prenatal",-104.848958333333,28.4335763610213,880,-3.68750511726226,0.00223204126895105
"5","Adult - Child",4.37500000000003,28.4335763610213,880,0.15386738356268,0.999874124374122
"6","Adult - Infant",-9.35416666666664,28.4335763610213,880,-0.328983120093537,0.997471166817492
"7","Adult - Prenatal",-75.5989583333333,28.4335763610213,880,-2.65879175287177,0.0610908832125115
"8","Child - Infant",-13.7291666666667,28.4335763610213,880,-0.482850503656218,0.988924335012419
"9","Child - Prenatal",-79.9739583333333,28.4335763610213,880,-2.81265913643445,0.0401375410170495
"10","Infant - Prenatal",-66.2447916666666,28.4335763610213,880,-2.32980863277824,0.136432262159636
