"","variable_pairwise","stage_pairwise","estimate","SE","df","t.ratio","p.value"
"1","M1C_primary motor cortex (area M1, area 4) - DFC_dorsolateral prefrontal cortex","Adolescent - Adult",25.2499999999997,162.170775470387,880,0.155700063262079,0.8763051550089
"2","M1C_primary motor cortex (area M1, area 4) - VFC_ventrolateral prefrontal cortex","Adolescent - Adult",11.3333333333328,162.170775470387,880,0.0698851769097099,0.944300928664438
"3","M1C_primary motor cortex (area M1, area 4) - OFC_orbital frontal cortex","Adolescent - Adult",20.2499999999995,162.170775470387,880,0.124868367566616,0.900656279474586
"4","M1C_primary motor cortex (area M1, area 4) - S1C_primary somatosensory cortex (area S1, areas 3,1,2)","Adolescent - Adult",11.9999999999995,162.170775470387,880,0.0739960696691045,0.941030328786724
"5","M1C_primary motor cortex (area M1, area 4) - IPC_posteroventral (inferior) parietal cortex","Adolescent - Adult",-5.25000000000059,162.170775470387,880,-0.0323732804802383,0.974181711309055
"6","M1C_primary motor cortex (area M1, area 4) - A1C_primary auditory cortex (core)","Adolescent - Adult",-21.2500000000006,162.170775470387,880,-0.131034706705715,0.895777801395634
"7","M1C_primary motor cortex (area M1, area 4) - STC_posterior (caudal) superior temporal cortex (area 22c)","Adolescent - Adult",-13.8333333333339,162.170775470387,880,-0.0853010247574475,0.932041479385472
"8","M1C_primary motor cortex (area M1, area 4) - ITC_inferolateral temporal cortex (area TEv, area 20)","Adolescent - Adult",18.5833333333328,162.170775470387,880,0.114591135668129,0.908795345821029
"9","M1C_primary motor cortex (area M1, area 4) - (V1C_primary visual cortex (striate cortex, area V1/17))","Adolescent - Adult",54.4166666666661,162.170775470387,880,0.335551621485604,0.73728899022928
"10","M1C_primary motor cortex (area M1, area 4) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex","Adolescent - Adult",35.4999999999992,162.170775470387,880,0.218905039437772,0.826774779589326
"11","M1C_primary motor cortex (area M1, area 4) - HIP_hippocampus (hippocampal formation)","Adolescent - Adult",54.7499999999993,162.170775470387,880,0.3376070678653,0.735739828606066
"12","M1C_primary motor cortex (area M1, area 4) - STR_striatum","Adolescent - Adult",-45.7500000000006,162.170775470387,880,-0.282110015613477,0.777925486060522
"13","M1C_primary motor cortex (area M1, area 4) - AMY_amygdaloid complex","Adolescent - Adult",-1.16666666666745,162.170775470387,880,-0.00719406232894586,0.994261648750923
"14","M1C_primary motor cortex (area M1, area 4) - MD_mediodorsal nucleus of thalamus","Adolescent - Adult",-25.0833333333339,162.170775470387,880,-0.154672340072236,0.877115103582008
"15","M1C_primary motor cortex (area M1, area 4) - CBC_cerebellar cortex","Adolescent - Adult",9.58333333333283,162.170775470387,880,0.0590940834162983,0.952890587531183
"16","DFC_dorsolateral prefrontal cortex - VFC_ventrolateral prefrontal cortex","Adolescent - Adult",-13.9166666666668,162.170775470387,880,-0.085814886352369,0.931633092784009
"17","DFC_dorsolateral prefrontal cortex - OFC_orbital frontal cortex","Adolescent - Adult",-5.00000000000016,162.170775470387,880,-0.0308316956954626,0.975410753918489
"18","DFC_dorsolateral prefrontal cortex - S1C_primary somatosensory cortex (area S1, areas 3,1,2)","Adolescent - Adult",-13.2500000000002,162.170775470387,880,-0.0817039935929744,0.934900681390918
"19","DFC_dorsolateral prefrontal cortex - IPC_posteroventral (inferior) parietal cortex","Adolescent - Adult",-30.5000000000002,162.170775470387,880,-0.188073343742317,0.850862515558871
"20","DFC_dorsolateral prefrontal cortex - A1C_primary auditory cortex (core)","Adolescent - Adult",-46.5000000000002,162.170775470387,880,-0.286734769967794,0.774382907593694
"21","DFC_dorsolateral prefrontal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)","Adolescent - Adult",-39.0833333333336,162.170775470387,880,-0.241001088019526,0.809610411499697
"22","DFC_dorsolateral prefrontal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)","Adolescent - Adult",-6.66666666666684,162.170775470387,880,-0.0411089275939499,0.967218382198822
"23","DFC_dorsolateral prefrontal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))","Adolescent - Adult",29.1666666666665,162.170775470387,880,0.179851558223525,0.857310510624822
"24","DFC_dorsolateral prefrontal cortex - MFC_anterior (rostral) cingulate (medial prefrontal) cortex","Adolescent - Adult",10.2499999999996,162.170775470387,880,0.0632049761756936,0.949617635555861
"25","DFC_dorsolateral prefrontal cortex - HIP_hippocampus (hippocampal formation)","Adolescent - Adult",29.4999999999996,162.170775470387,880,0.181907004603221,0.855697599844631
"26","DFC_dorsolateral prefrontal cortex - STR_striatum","Adolescent - Adult",-71.0000000000003,162.170775470387,880,-0.437810078875556,0.661631399461941
"27","DFC_dorsolateral prefrontal cortex - AMY_amygdaloid complex","Adolescent - Adult",-26.4166666666671,162.170775470387,880,-0.162894125591025,0.870639194424011
"28","DFC_dorsolateral prefrontal cortex - MD_mediodorsal nucleus of thalamus","Adolescent - Adult",-50.3333333333336,162.170775470387,880,-0.310372403334315,0.756351269171455
"29","DFC_dorsolateral prefrontal cortex - CBC_cerebellar cortex","Adolescent - Adult",-15.6666666666668,162.170775470387,880,-0.0966059798457807,0.923061303647542
"30","VFC_ventrolateral prefrontal cortex - OFC_orbital frontal cortex","Adolescent - Adult",8.91666666666666,162.170775470387,880,0.0549831906569065,0.956164335598925
"31","VFC_ventrolateral prefrontal cortex - S1C_primary somatosensory cortex (area S1, areas 3,1,2)","Adolescent - Adult",0.666666666666617,162.170775470387,880,0.00411089275939457,0.996720923073128
"32","VFC_ventrolateral prefrontal cortex - IPC_posteroventral (inferior) parietal cortex","Adolescent - Adult",-16.5833333333334,162.170775470387,880,-0.102258457389948,0.918574824604332
"33","VFC_ventrolateral prefrontal cortex - A1C_primary auditory cortex (core)","Adolescent - Adult",-32.5833333333334,162.170775470387,880,-0.200919883615425,0.840807647659678
"34","VFC_ventrolateral prefrontal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)","Adolescent - Adult",-25.1666666666668,162.170775470387,880,-0.155186201667157,0.876710113130367
"35","VFC_ventrolateral prefrontal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)","Adolescent - Adult",7.24999999999997,162.170775470387,880,0.0447059587584192,0.964351826290967
"36","VFC_ventrolateral prefrontal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))","Adolescent - Adult",43.0833333333333,162.170775470387,880,0.265666444575894,0.790558332809199
"37","VFC_ventrolateral prefrontal cortex - MFC_anterior (rostral) cingulate (medial prefrontal) cortex","Adolescent - Adult",24.1666666666664,162.170775470387,880,0.149019862528063,0.88157210244246
"38","VFC_ventrolateral prefrontal cortex - HIP_hippocampus (hippocampal formation)","Adolescent - Adult",43.4166666666664,162.170775470387,880,0.26772189095559,0.788976133937599
"39","VFC_ventrolateral prefrontal cortex - STR_striatum","Adolescent - Adult",-57.0833333333335,162.170775470387,880,-0.351995192523187,0.724926141008076
"40","VFC_ventrolateral prefrontal cortex - AMY_amygdaloid complex","Adolescent - Adult",-12.5000000000003,162.170775470387,880,-0.0770792392386558,0.938578029399666
"41","VFC_ventrolateral prefrontal cortex - MD_mediodorsal nucleus of thalamus","Adolescent - Adult",-36.4166666666668,162.170775470387,880,-0.224557516981946,0.822375645977911
"42","VFC_ventrolateral prefrontal cortex - CBC_cerebellar cortex","Adolescent - Adult",-1.75000000000001,162.170775470387,880,-0.0107910934934116,0.991392566038331
"43","OFC_orbital frontal cortex - S1C_primary somatosensory cortex (area S1, areas 3,1,2)","Adolescent - Adult",-8.25000000000004,162.170775470387,880,-0.0508722978975119,0.959438824553042
"44","OFC_orbital frontal cortex - IPC_posteroventral (inferior) parietal cortex","Adolescent - Adult",-25.5000000000001,162.170775470387,880,-0.157241648046855,0.875090475669952
"45","OFC_orbital frontal cortex - A1C_primary auditory cortex (core)","Adolescent - Adult",-41.5000000000001,162.170775470387,880,-0.255903074272332,0.798085485482972
"46","OFC_orbital frontal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)","Adolescent - Adult",-34.0833333333334,162.170775470387,880,-0.210169392324064,0.83358411746256
"47","OFC_orbital frontal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)","Adolescent - Adult",-1.66666666666668,162.170775470387,880,-0.0102772318984873,0.991802429038027
"48","OFC_orbital frontal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))","Adolescent - Adult",34.1666666666667,162.170775470387,880,0.210683253918987,0.833183216554447
"49","OFC_orbital frontal cortex - MFC_anterior (rostral) cingulate (medial prefrontal) cortex","Adolescent - Adult",15.2499999999997,162.170775470387,880,0.0940366718711561,0.925101431867978
"50","OFC_orbital frontal cortex - HIP_hippocampus (hippocampal formation)","Adolescent - Adult",34.4999999999998,162.170775470387,880,0.212738700298684,0.831580048405359
"51","OFC_orbital frontal cortex - STR_striatum","Adolescent - Adult",-66.0000000000001,162.170775470387,880,-0.406978383180094,0.684122832564649
"52","OFC_orbital frontal cortex - AMY_amygdaloid complex","Adolescent - Adult",-21.4166666666669,162.170775470387,880,-0.132062429895562,0.894965100294838
"53","OFC_orbital frontal cortex - MD_mediodorsal nucleus of thalamus","Adolescent - Adult",-45.3333333333334,162.170775470387,880,-0.279540707638853,0.779895590218583
"54","OFC_orbital frontal cortex - CBC_cerebellar cortex","Adolescent - Adult",-10.6666666666667,162.170775470387,880,-0.0657742841503181,0.947572469350793
"55","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - IPC_posteroventral (inferior) parietal cortex","Adolescent - Adult",-17.25,162.170775470387,880,-0.106369350149343,0.915313552822612
"56","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - A1C_primary auditory cortex (core)","Adolescent - Adult",-33.25,162.170775470387,880,-0.20503077637482,0.837595493840065
"57","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - STC_posterior (caudal) superior temporal cortex (area 22c)","Adolescent - Adult",-25.8333333333334,162.170775470387,880,-0.159297094426552,0.873471362174412
"58","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - ITC_inferolateral temporal cortex (area TEv, area 20)","Adolescent - Adult",6.58333333333336,162.170775470387,880,0.0405950659990246,0.967627925694364
"59","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - (V1C_primary visual cortex (striate cortex, area V1/17))","Adolescent - Adult",42.4166666666667,162.170775470387,880,0.261555551816499,0.793725319714659
"60","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex","Adolescent - Adult",23.4999999999998,162.170775470387,880,0.144908969768668,0.884815925788419
