"","contrast","estimate","SE","df","t.ratio","p.value"
"1","M1C_primary motor cortex (area M1, area 4) - DFC_dorsolateral prefrontal cortex",15.6166666666666,51.7684566096718,880,0.301663748340316,0.999999999989233
"2","M1C_primary motor cortex (area M1, area 4) - VFC_ventrolateral prefrontal cortex",16.4833333333333,51.7684566096718,880,0.318404959560911,0.999999999976146
"3","M1C_primary motor cortex (area M1, area 4) - OFC_orbital frontal cortex",20.4333333333333,51.7684566096718,880,0.394706249162464,0.999999999443836
"4","M1C_primary motor cortex (area M1, area 4) - S1C_primary somatosensory cortex (area S1, areas 3,1,2)",-20.55,51.7684566096718,880,-0.396959873749853,0.999999999395779
"5","M1C_primary motor cortex (area M1, area 4) - IPC_posteroventral (inferior) parietal cortex",-18.5833333333334,51.7684566096718,880,-0.35897020213389,0.999999999860833
"6","M1C_primary motor cortex (area M1, area 4) - A1C_primary auditory cortex (core)",-15.6333333333334,51.7684566096718,880,-0.301985694709946,0.999999999989062
"7","M1C_primary motor cortex (area M1, area 4) - STC_posterior (caudal) superior temporal cortex (area 22c)",2.94999999999994,51.7684566096718,880,0.0569845074239434,1
"8","M1C_primary motor cortex (area M1, area 4) - ITC_inferolateral temporal cortex (area TEv, area 20)",-3.4333333333334,51.7684566096718,880,-0.0663209521431232,1
"9","M1C_primary motor cortex (area M1, area 4) - (V1C_primary visual cortex (striate cortex, area V1/17))",-4.18333333333342,51.7684566096718,880,-0.0808085387763298,1
"10","M1C_primary motor cortex (area M1, area 4) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",27.0333333333333,51.7684566096718,880,0.522197011534679,0.999999968589826
"11","M1C_primary motor cortex (area M1, area 4) - HIP_hippocampus (hippocampal formation)",37.0333333333332,51.7684566096718,880,0.71536483331076,0.999997471263354
"12","M1C_primary motor cortex (area M1, area 4) - STR_striatum",40.4833333333332,51.7684566096718,880,0.782007731823509,0.999991614920337
"13","M1C_primary motor cortex (area M1, area 4) - AMY_amygdaloid complex",47.3999999999999,51.7684566096718,880,0.915615475218633,0.999934389605539
"14","M1C_primary motor cortex (area M1, area 4) - MD_mediodorsal nucleus of thalamus",107.066666666667,51.7684566096718,880,2.0681834784826,0.78496862392113
"15","M1C_primary motor cortex (area M1, area 4) - CBC_cerebellar cortex",19.6166666666666,51.7684566096718,880,0.378930877050749,0.9999999996931
"16","DFC_dorsolateral prefrontal cortex - VFC_ventrolateral prefrontal cortex",0.866666666666725,51.7684566096718,880,0.016741211220595,1
"17","DFC_dorsolateral prefrontal cortex - OFC_orbital frontal cortex",4.81666666666669,51.7684566096718,880,0.0930425008221474,1
"18","DFC_dorsolateral prefrontal cortex - S1C_primary somatosensory cortex (area S1, areas 3,1,2)",-36.1666666666667,51.7684566096718,880,-0.698623622090169,0.99999816832461
"19","DFC_dorsolateral prefrontal cortex - IPC_posteroventral (inferior) parietal cortex",-34.2,51.7684566096718,880,-0.660633950474206,0.999999149469292
"20","DFC_dorsolateral prefrontal cortex - A1C_primary auditory cortex (core)",-31.2500000000001,51.7684566096718,880,-0.603649443050262,0.999999757008352
"21","DFC_dorsolateral prefrontal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)",-12.6666666666667,51.7684566096718,880,-0.244679240916373,0.999999999999756
"22","DFC_dorsolateral prefrontal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)",-19.05,51.7684566096718,880,-0.367984700483439,0.99999999979998
"23","DFC_dorsolateral prefrontal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))",-19.8,51.7684566096718,880,-0.382472287116646,0.999999999648489
"24","DFC_dorsolateral prefrontal cortex - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",11.4166666666667,51.7684566096718,880,0.220533263194363,1
"25","DFC_dorsolateral prefrontal cortex - HIP_hippocampus (hippocampal formation)",21.4166666666666,51.7684566096718,880,0.413701084970444,0.999999998898562
"26","DFC_dorsolateral prefrontal cortex - STR_striatum",24.8666666666666,51.7684566096718,880,0.480343983483193,0.999999990483904
"27","DFC_dorsolateral prefrontal cortex - AMY_amygdaloid complex",31.7833333333333,51.7684566096718,880,0.613951726878317,0.99999969222328
"28","DFC_dorsolateral prefrontal cortex - MD_mediodorsal nucleus of thalamus",91.45,51.7684566096718,880,1.76651973014228,0.92747733410656
"29","DFC_dorsolateral prefrontal cortex - CBC_cerebellar cortex",3.99999999999996,51.7684566096718,880,0.0772671287104327,1
"30","VFC_ventrolateral prefrontal cortex - OFC_orbital frontal cortex",3.94999999999997,51.7684566096718,880,0.0763012896015524,1
"31","VFC_ventrolateral prefrontal cortex - S1C_primary somatosensory cortex (area S1, areas 3,1,2)",-37.0333333333334,51.7684566096718,880,-0.715364833310764,0.999997471263354
"32","VFC_ventrolateral prefrontal cortex - IPC_posteroventral (inferior) parietal cortex",-35.0666666666668,51.7684566096718,880,-0.677375161694801,0.999998799889463
"33","VFC_ventrolateral prefrontal cortex - A1C_primary auditory cortex (core)",-32.1166666666668,51.7684566096718,880,-0.620390654270857,0.999999644048256
"34","VFC_ventrolateral prefrontal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)",-13.5333333333334,51.7684566096718,880,-0.261420452136968,0.999999999998809
"35","VFC_ventrolateral prefrontal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)",-19.9166666666667,51.7684566096718,880,-0.384725911704034,0.999999999617046
"36","VFC_ventrolateral prefrontal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))",-20.6666666666668,51.7684566096718,880,-0.399213498337241,0.999999999343897
"37","VFC_ventrolateral prefrontal cortex - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",10.55,51.7684566096718,880,0.203792051973768,1
"38","VFC_ventrolateral prefrontal cortex - HIP_hippocampus (hippocampal formation)",20.5499999999999,51.7684566096718,880,0.396959873749849,0.999999999395779
"39","VFC_ventrolateral prefrontal cortex - STR_striatum",23.9999999999999,51.7684566096718,880,0.463602772262598,0.999999994284803
"40","VFC_ventrolateral prefrontal cortex - AMY_amygdaloid complex",30.9166666666665,51.7684566096718,880,0.597210515657722,0.999999790869678
"41","VFC_ventrolateral prefrontal cortex - MD_mediodorsal nucleus of thalamus",90.5833333333333,51.7684566096718,880,1.74977851892169,0.932712847575452
"42","VFC_ventrolateral prefrontal cortex - CBC_cerebellar cortex",3.13333333333324,51.7684566096718,880,0.0605259174898376,1
"43","OFC_orbital frontal cortex - S1C_primary somatosensory cortex (area S1, areas 3,1,2)",-40.9833333333334,51.7684566096718,880,-0.791666122912316,0.999990127593777
"44","OFC_orbital frontal cortex - IPC_posteroventral (inferior) parietal cortex",-39.0166666666667,51.7684566096718,880,-0.753676451296354,0.999994882333314
"45","OFC_orbital frontal cortex - A1C_primary auditory cortex (core)",-36.0666666666667,51.7684566096718,880,-0.696691943872409,0.99999823627552
"46","OFC_orbital frontal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)",-17.4833333333334,51.7684566096718,880,-0.33772174173852,0.999999999943159
"47","OFC_orbital frontal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)",-23.8666666666667,51.7684566096718,880,-0.461027201305587,0.999999994725319
"48","OFC_orbital frontal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))",-24.6166666666667,51.7684566096718,880,-0.475514787938793,0.999999991768921
"49","OFC_orbital frontal cortex - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",6.60000000000001,51.7684566096718,880,0.127490762372215,1
"50","OFC_orbital frontal cortex - HIP_hippocampus (hippocampal formation)",16.5999999999999,51.7684566096718,880,0.320658584148297,0.999999999973536
"51","OFC_orbital frontal cortex - STR_striatum",20.0499999999999,51.7684566096718,880,0.387301482661046,0.999999999577925
"52","OFC_orbital frontal cortex - AMY_amygdaloid complex",26.9666666666666,51.7684566096718,880,0.52090922605617,0.99999996967475
"53","OFC_orbital frontal cortex - MD_mediodorsal nucleus of thalamus",86.6333333333333,51.7684566096718,880,1.67347722932014,0.95324509020372
"54","OFC_orbital frontal cortex - CBC_cerebellar cortex",-0.816666666666731,51.7684566096718,880,-0.0157753721117147,1
"55","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - IPC_posteroventral (inferior) parietal cortex",1.96666666666663,51.7684566096718,880,0.0379896716159624,1
"56","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - A1C_primary auditory cortex (core)",4.91666666666661,51.7684566096718,880,0.0949741790399067,1
"57","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - STC_posterior (caudal) superior temporal cortex (area 22c)",23.5,51.7684566096718,880,0.453944381173796,0.99999999578009
"58","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - ITC_inferolateral temporal cortex (area TEv, area 20)",17.1166666666666,51.7684566096718,880,0.330638921606729,0.999999999958428
