"","variable_pairwise","stage_pairwise","estimate","SE","df","t.ratio","p.value"
"1","M1C_primary motor cortex (area M1, area 4) - DFC_dorsolateral prefrontal cortex","Adolescent - Adult",82.0583333333321,706.911680377518,19120,0.116080036037189,0.907590329861339
"2","M1C_primary motor cortex (area M1, area 4) - VFC_ventrolateral prefrontal cortex","Adolescent - Adult",-4.0208333333346,706.911680377518,19120,-0.00568788640072734,0.995461807067532
"3","M1C_primary motor cortex (area M1, area 4) - OFC_orbital frontal cortex","Adolescent - Adult",80.0041666666656,706.911680377519,19120,0.11317420391744,0.909893634724053
"4","M1C_primary motor cortex (area M1, area 4) - S1C_primary somatosensory cortex (area S1, areas 3,1,2)","Adolescent - Adult",53.4291666666659,706.911680377518,19120,0.0755811060274639,0.939753159411156
"5","M1C_primary motor cortex (area M1, area 4) - IPC_posteroventral (inferior) parietal cortex","Adolescent - Adult",-47.2416666666668,706.911680377519,19120,-0.0668282445714264,0.946719136487804
"6","M1C_primary motor cortex (area M1, area 4) - A1C_primary auditory cortex (core)","Adolescent - Adult",-74.7166666666696,706.911680377518,19120,-0.105694485945922,0.915825864191217
"7","M1C_primary motor cortex (area M1, area 4) - STC_posterior (caudal) superior temporal cortex (area 22c)","Adolescent - Adult",-98.0250000000005,706.911680377518,19120,-0.138666544521731,0.889715116590638
"8","M1C_primary motor cortex (area M1, area 4) - ITC_inferolateral temporal cortex (area TEv, area 20)","Adolescent - Adult",156.145833333331,706.911680377518,19120,0.220884500380505,0.825184724833525
"9","M1C_primary motor cortex (area M1, area 4) - (V1C_primary visual cortex (striate cortex, area V1/17))","Adolescent - Adult",71.2166666666644,706.911680377518,19120,0.100743372395024,0.919755236604046
"10","M1C_primary motor cortex (area M1, area 4) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex","Adolescent - Adult",268.612499999998,706.911680377518,19120,0.379980282482458,0.703964272226231
"11","M1C_primary motor cortex (area M1, area 4) - HIP_hippocampus (hippocampal formation)","Adolescent - Adult",591.358333333329,706.911680377518,19120,0.836537787885355,0.40286288231411
"12","M1C_primary motor cortex (area M1, area 4) - STR_striatum","Adolescent - Adult",229.754166666666,706.911680377518,19120,0.325011133701975,0.745176201269369
"13","M1C_primary motor cortex (area M1, area 4) - AMY_amygdaloid complex","Adolescent - Adult",188.1,706.911680377519,19120,0.26608698826358,0.790175084857315
"14","M1C_primary motor cortex (area M1, area 4) - MD_mediodorsal nucleus of thalamus","Adolescent - Adult",113.316666666666,706.911680377518,19120,0.160298195392882,0.872647873751306
"15","M1C_primary motor cortex (area M1, area 4) - CBC_cerebellar cortex","Adolescent - Adult",-30.8250000000016,706.911680377518,19120,-0.0436051643446319,0.965219590407143
"16","DFC_dorsolateral prefrontal cortex - VFC_ventrolateral prefrontal cortex","Adolescent - Adult",-86.0791666666667,706.911680377518,19120,-0.121767922437916,0.903084098706899
"17","DFC_dorsolateral prefrontal cortex - OFC_orbital frontal cortex","Adolescent - Adult",-2.05416666666655,706.911680377518,19120,-0.00290583211974874,0.997681514993526
"18","DFC_dorsolateral prefrontal cortex - S1C_primary somatosensory cortex (area S1, areas 3,1,2)","Adolescent - Adult",-28.6291666666662,706.911680377518,19120,-0.040498930009725,0.967695782923882
"19","DFC_dorsolateral prefrontal cortex - IPC_posteroventral (inferior) parietal cortex","Adolescent - Adult",-129.299999999999,706.911680377518,19120,-0.182908280608615,0.854871924843122
"20","DFC_dorsolateral prefrontal cortex - A1C_primary auditory cortex (core)","Adolescent - Adult",-156.775000000002,706.911680377518,19120,-0.221774521983111,0.824491782592275
"21","DFC_dorsolateral prefrontal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)","Adolescent - Adult",-180.083333333333,706.911680377518,19120,-0.25474658055892,0.798921576484352
"22","DFC_dorsolateral prefrontal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)","Adolescent - Adult",74.0874999999991,706.911680377518,19120,0.104804464343316,0.916532066858427
"23","DFC_dorsolateral prefrontal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))","Adolescent - Adult",-10.8416666666677,706.911680377518,19120,-0.015336663642165,0.987763752580674
