"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",0.999999999835206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.999986165652882,0.998637474699737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.999999996441178,0.999986165652882,0.999999999835206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.993969573712681,0.99983907005497,0.721879719794945,0.91666760458409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",0.999111572613991,0.999993260385518,0.851984546983007,0.971042203492792,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.908849498912879,0.986929806459242,0.37257906217589,0.644529127280274,0.999999993042534,0.99999863503109,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.999931140979627,0.999999924537122,0.937364624096653,0.992898450168573,0.999999998242823,1,0.999949033078996,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",0.999999998242823,1,0.997523569567411,0.999962636691503,0.999931140979627,0.999997920792538,0.991674774286522,0.999999986830028,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",1,0.999999999990531,0.999962636691503,0.999999975797683,0.996410922789473,0.999554161416057,0.930916643536833,0.999972882772195,0.999999999835206,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",0.999789982094148,0.992898450168573,1,0.999999924537122,0.579612113234402,0.73656872932245,0.251858496637465,0.862646996583881,0.988706996794018,0.999554161416057,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",1,0.999999999620196,0.999990285407555,0.999999998242823,0.992898450168573,0.998896398405802,0.90056056997412,0.999907820046549,0.999999996441178,1,0.99983907005497,NA,NA,NA,NA
"STR_striatum",0.999999993042534,0.999980524519613,0.999999999932205,1,0.908849498912879,0.96735247628172,0.628467508401434,0.991674774286522,0.999949033078996,0.999999956721096,0.999999956721096,0.999999996441178,NA,NA,NA
"AMY_amygdaloid complex",0.999999999973839,0.99999863503109,0.999999986830028,1,0.954137689281849,0.986929806459242,0.736568729322451,0.997523569567411,0.999995383441089,0.999999999620196,0.99999863503109,0.999999999990531,1,NA,NA
"MD_mediodorsal nucleus of thalamus",0.778629480410433,0.513982733252871,0.99701090604936,0.96331661041795,0.0493772975548492,0.0945071640111452,0.00935990186482716,0.16809271301156,0.465366930837996,0.73656872932245,0.999554161416057,0.791909616809632,0.96735247628172,0.930916643536833,NA
"CBC_cerebellar cortex",1,0.999999999999105,0.999931140979627,0.999999924537122,0.997523569567411,0.999728061847872,0.943375648516558,0.999986165652882,0.999999999973839,1,0.999289304651039,1,0.999999871465922,0.999999998242823,0.706895578292157
