"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","10_dorsal motor nucleus of the vagus, Left","datasource",1,1120,33.48,9.34e-09,"*",0.029,3.86676e-06
"2","10_dorsal motor nucleus of the vagus, Right","datasource",1,1120,18.547,1.8e-05,"*",0.016,0.007452
"3","12_hypoglossal nucleus, Left","datasource",1,1120,17.462,3.16e-05,"*",0.015,0.0130824
"4","12_hypoglossal nucleus, Right","datasource",1,1120,11.202,0.000844,"*",0.01,0.349416
"5","3_Oculomotor Nuclear Complex, Left","datasource",1,1120,26.086,3.84e-07,"*",0.023,0.000158976
"6","3_Oculomotor Nuclear Complex, Right","datasource",1,1120,13.042,0.000318,"*",0.012,0.131652
"7","4_trochlear nucleus, Left","datasource",1,1120,6.927,0.009,"*",0.006,1
"8","4_trochlear nucleus, Right","datasource",1,1120,9.154,0.003,"*",0.008,1
"9","6_abducens nucleus, Left","datasource",1,1120,28.981,8.9e-08,"*",0.025,3.6846e-05
"10","6_abducens nucleus, Right","datasource",1,1120,24.133,1.03e-06,"*",0.021,0.00042642
"11","7_facial motor nucleus, Left","datasource",1,1120,18.65,1.71e-05,"*",0.016,0.0070794
"12","7_facial motor nucleus, Right","datasource",1,1120,11.061,0.00091,"*",0.01,0.37674
"13","8Co_cochlear nuclei, Left","datasource",1,1120,33.092,1.13e-08,"*",0.029,4.6782e-06
"14","8Co_cochlear nuclei, Right","datasource",1,1120,13.385,0.000265,"*",0.012,0.10971
"15","8Ve_vestibular nuclei, Left","datasource",1,1120,31.07,3.12e-08,"*",0.027,1.29168e-05
"16","8Ve_vestibular nuclei, Right","datasource",1,1120,20.798,5.66e-06,"*",0.018,0.00234324
"17","Acb_Nucleus Accumbens, Left","datasource",1,1120,28.308,1.25e-07,"*",0.025,5.175e-05
"18","Acb_Nucleus Accumbens, Right","datasource",1,1120,33.367,9.88e-09,"*",0.029,4.09032e-06
"19","AHA_Anterior Hypothalamic Area, Left","datasource",1,1120,36.839,1.75e-09,"*",0.032,7.245e-07
"20","AHA_Anterior Hypothalamic Area, Right","datasource",1,1120,52.193,9.28e-13,"*",0.045,3.84192e-10
"21","AnG-i_angular gyrus, Left, inferior bank of gyrus","datasource",1,1120,29.428,7.11e-08,"*",0.026,2.94354e-05
"22","AnG-i_angular gyrus, Right, inferior bank of gyrus","datasource",1,1120,20.71,5.93e-06,"*",0.018,0.00245502
"23","AnG-s_angular gyrus, Left, superior bank of gyrus","datasource",1,1120,30.999,3.23e-08,"*",0.027,1.33722e-05
"24","AnG-s_angular gyrus, Right, superior bank of gyrus","datasource",1,1120,20.845,5.53e-06,"*",0.018,0.00228942
"25","AOrG_anterior orbital gyrus, Left","datasource",1,1120,36.266,2.33e-09,"*",0.031,9.6462e-07
"26","AOrG_anterior orbital gyrus, Right","datasource",1,1120,36.946,1.66e-09,"*",0.032,6.8724e-07
"27","Arc_arcuate nucleus of medulla, Left","datasource",1,1120,27.554,1.83e-07,"*",0.024,7.5762e-05
"28","Arc_arcuate nucleus of medulla, Right","datasource",1,1120,21.415,4.13e-06,"*",0.019,0.00170982
"29","ARH_Arcuate Nucleus of the Hypothalamus, Left","datasource",1,1120,39.996,3.67e-10,"*",0.034,1.51938e-07
"30","ARH_Arcuate Nucleus of the Hypothalamus, Right","datasource",1,1120,22.342,2.57e-06,"*",0.02,0.00106398
"31","ATZ_Amygdaloid Transition zone, Left","datasource",1,1120,38.69,7e-10,"*",0.033,2.898e-07
"32","ATZ_Amygdaloid Transition zone, Right","datasource",1,1120,30.874,3.44e-08,"*",0.027,1.42416e-05
"33","BCd_Body of Caudate Nucleus, Left","datasource",1,1120,40.369,3.05e-10,"*",0.035,1.2627e-07
"34","BCd_Body of Caudate Nucleus, Right","datasource",1,1120,29.658,6.33e-08,"*",0.026,2.62062e-05
"35","BLA_Basolateral Nucleus, Left","datasource",1,1120,20.576,6.35e-06,"*",0.018,0.0026289
"36","BLA_Basolateral Nucleus, Right","datasource",1,1120,34.754,4.95e-09,"*",0.03,2.0493e-06
"37","BMA_Basomedial nucleus, Left","datasource",1,1120,25.996,4.02e-07,"*",0.023,0.000166428
"38","BMA_Basomedial nucleus, Right","datasource",1,1120,43.383,6.91e-11,"*",0.037,2.86074e-08
"39","BST_Nucleus of Stria Terminalis, Left","datasource",1,1120,34.587,5.37e-09,"*",0.03,2.22318e-06
"40","CA1_CA1 field, Left","datasource",1,1120,32.105,1.86e-08,"*",0.028,7.7004e-06
"41","CA1_CA1 field, Right","datasource",1,1120,21.024,5.05e-06,"*",0.018,0.0020907
