"variable",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"A1C_primary auditory cortex (core)","value","1","3",10,10,7.08272008300368,9,5.78e-05,0.000578,"***"
"A1C_primary auditory cortex (core)","value","1","4",10,10,4.36911463552823,9,0.002,0.006,"**"
"A1C_primary auditory cortex (core)","value","1","5",10,10,5.97984320616893,9,0.000208,0.001,"**"
"A1C_primary auditory cortex (core)","value","2","3",10,10,3.51781979929886,9,0.007,0.016,"*"
"A1C_primary auditory cortex (core)","value","2","4",10,10,3.15419937462295,9,0.012,0.023,"*"
"A1C_primary auditory cortex (core)","value","2","5",10,10,3.03202133543849,9,0.014,0.024,"*"
"AMY_amygdaloid complex","value","1","3",10,10,7.12672296706354,9,5.5e-05,0.00055,"***"
"AMY_amygdaloid complex","value","1","4",10,10,6.34284806268181,9,0.000134,0.00067,"***"
"AMY_amygdaloid complex","value","1","5",10,10,3.22459229509131,9,0.01,0.024,"*"
"AMY_amygdaloid complex","value","2","3",10,10,3.31593321379769,9,0.009,0.024,"*"
"AMY_amygdaloid complex","value","2","4",10,10,2.80530718065338,9,0.02,0.034,"*"
"AMY_amygdaloid complex","value","4","5",10,10,-3.14451079276957,9,0.012,0.024,"*"
"DFC_dorsolateral prefrontal cortex","value","1","3",10,10,5.461034330515,9,4e-04,0.002,"**"
"DFC_dorsolateral prefrontal cortex","value","1","4",10,10,3.71367268129511,9,0.005,0.008,"**"
"DFC_dorsolateral prefrontal cortex","value","2","3",10,10,5.3408054764533,9,0.000468,0.002,"**"
"DFC_dorsolateral prefrontal cortex","value","2","4",10,10,2.63704232652863,9,0.027,0.039,"*"
"DFC_dorsolateral prefrontal cortex","value","3","4",10,10,-4.09927758941912,9,0.003,0.005,"**"
"DFC_dorsolateral prefrontal cortex","value","3","5",10,10,-7.69465712998546,9,3.02e-05,0.000302,"***"
"DFC_dorsolateral prefrontal cortex","value","4","5",10,10,-4.37110459633773,9,0.002,0.004,"**"
"HIP_hippocampus (hippocampal formation)","value","1","2",10,10,2.97615574276305,9,0.016,0.026,"*"
"HIP_hippocampus (hippocampal formation)","value","1","4",10,10,10.5478644974324,9,2.29e-06,2.29e-05,"****"
"HIP_hippocampus (hippocampal formation)","value","1","5",10,10,5.5515593599732,9,0.000356,0.000712,"***"
"HIP_hippocampus (hippocampal formation)","value","2","4",10,10,7.18002272303174,9,5.19e-05,0.00013,"***"
"HIP_hippocampus (hippocampal formation)","value","3","4",10,10,8.06429004111254,9,2.08e-05,0.000104,"***"
"HIP_hippocampus (hippocampal formation)","value","4","5",10,10,-7.56709252593868,9,3.44e-05,0.000115,"***"
"IPC_posteroventral (inferior) parietal cortex","value","1","4",10,10,4.1500075448751,9,0.002,0.025,"*"
"IPC_posteroventral (inferior) parietal cortex","value","1","5",10,10,3.44387410064504,9,0.007,0.034,"*"
"IPC_posteroventral (inferior) parietal cortex","value","4","5",10,10,-3.2338606632342,9,0.01,0.034,"*"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","1","4",10,10,5.1015211116811,9,0.000644,0.006,"**"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","1","5",10,10,4.03070010066665,9,0.003,0.015,"*"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","2","4",10,10,3.26464719137811,9,0.01,0.02,"*"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","3","4",10,10,3.74430459808852,9,0.005,0.015,"*"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","4","5",10,10,-3.23569711382449,9,0.01,0.02,"*"
"M1C_primary motor cortex (area M1, area 4)","value","1","4",10,10,3.67472608094025,9,0.005,0.017,"*"
"M1C_primary motor cortex (area M1, area 4)","value","1","5",10,10,3.87691095128588,9,0.004,0.017,"*"
"M1C_primary motor cortex (area M1, area 4)","value","2","4",10,10,4.56846707224984,9,0.001,0.014,"*"
"MD_mediodorsal nucleus of thalamus","value","1","3",10,10,4.21671480529828,9,0.002,0.011,"*"
"MD_mediodorsal nucleus of thalamus","value","1","4",10,10,5.01934092705462,9,0.00072,0.007,"**"
"MD_mediodorsal nucleus of thalamus","value","1","5",10,10,3.58567521051284,9,0.006,0.02,"*"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","1","3",10,10,4.67235256403683,9,0.001,0.003,"**"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","1","4",10,10,4.78044679452264,9,0.001,0.003,"**"
