"stage",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","value","A1C_primary auditory cortex (core)","AMY_amygdaloid complex",202,202,-8.03671182346359,201,7.74e-14,1.43e-13,"****"
"1","value","A1C_primary auditory cortex (core)","CBC_cerebellar cortex",202,202,-13.0531975096789,201,1.32e-28,7.54e-28,"****"
"1","value","A1C_primary auditory cortex (core)","DFC_dorsolateral prefrontal cortex",202,202,-5.23839755130797,201,4.07e-07,5.75e-07,"****"
"1","value","A1C_primary auditory cortex (core)","HIP_hippocampus (hippocampal formation)",202,202,-12.2073376372443,201,5.28e-26,2.26e-25,"****"
"1","value","A1C_primary auditory cortex (core)","IPC_posteroventral (inferior) parietal cortex",202,202,9.1044149148592,201,8.74e-17,1.91e-16,"****"
"1","value","A1C_primary auditory cortex (core)","MD_mediodorsal nucleus of thalamus",202,202,-11.2109417576184,201,5.69e-23,1.9e-22,"****"
"1","value","A1C_primary auditory cortex (core)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,-10.8367943641558,201,7.59e-22,2.22e-21,"****"
"1","value","A1C_primary auditory cortex (core)","OFC_orbital frontal cortex",202,202,-14.6066156361043,201,2.08e-33,1.96e-32,"****"
"1","value","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,2.8449777942585,201,0.005,0.006,"**"
"1","value","A1C_primary auditory cortex (core)","STR_striatum",202,202,-6.99252902550062,201,3.91e-11,6.34e-11,"****"
"1","value","A1C_primary auditory cortex (core)","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,3.34160714754755,201,0.000993,0.001,"**"
"1","value","A1C_primary auditory cortex (core)","VFC_ventrolateral prefrontal cortex",202,202,-5.10890456265154,201,7.51e-07,1.02e-06,"****"
"1","value","AMY_amygdaloid complex","CBC_cerebellar cortex",202,202,-8.53882518264206,201,3.33e-15,6.55e-15,"****"
"1","value","AMY_amygdaloid complex","DFC_dorsolateral prefrontal cortex",202,202,6.16537624303304,201,3.79e-09,5.69e-09,"****"
"1","value","AMY_amygdaloid complex","HIP_hippocampus (hippocampal formation)",202,202,-6.09150545808791,201,5.6e-09,8.3e-09,"****"
"1","value","AMY_amygdaloid complex","IPC_posteroventral (inferior) parietal cortex",202,202,12.4197232358747,201,1.18e-26,5.45e-26,"****"
"1","value","AMY_amygdaloid complex","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,10.9622050978011,201,3.19e-22,9.82e-22,"****"
"1","value","AMY_amygdaloid complex","M1C_primary motor cortex (area M1, area 4)",202,202,6.4574061123977,201,7.84e-10,1.19e-09,"****"
"1","value","AMY_amygdaloid complex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,7.22210474918526,201,1.04e-11,1.71e-11,"****"
"1","value","AMY_amygdaloid complex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,14.0151943599904,201,1.4e-31,9.88e-31,"****"
"1","value","AMY_amygdaloid complex","STR_striatum",202,202,5.69364759287388,201,4.36e-08,6.3e-08,"****"
"1","value","AMY_amygdaloid complex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,14.8262392853112,201,4.35e-34,4.75e-33,"****"
"1","value","AMY_amygdaloid complex","VFC_ventrolateral prefrontal cortex",202,202,6.91786287656527,201,5.99e-11,9.58e-11,"****"
"1","value","CBC_cerebellar cortex","DFC_dorsolateral prefrontal cortex",202,202,11.5368708783836,201,5.86e-24,2.13e-23,"****"
"1","value","CBC_cerebellar cortex","HIP_hippocampus (hippocampal formation)",202,202,8.31820015930499,201,1.34e-14,2.55e-14,"****"
"1","value","CBC_cerebellar cortex","IPC_posteroventral (inferior) parietal cortex",202,202,12.566820778905,201,4.16e-27,2e-26,"****"
"1","value","CBC_cerebellar cortex","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,12.0458273487473,201,1.65e-25,6.83e-25,"****"
"1","value","CBC_cerebellar cortex","M1C_primary motor cortex (area M1, area 4)",202,202,10.2749313242558,201,3.56e-20,9.29e-20,"****"
"1","value","CBC_cerebellar cortex","MD_mediodorsal nucleus of thalamus",202,202,11.0660168029586,201,1.56e-22,4.93e-22,"****"
"1","value","CBC_cerebellar cortex","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,9.45003464790065,201,9.03e-18,2.04e-17,"****"
"1","value","CBC_cerebellar cortex","OFC_orbital frontal cortex",202,202,8.76178819473012,201,8.03e-16,1.61e-15,"****"
"1","value","CBC_cerebellar cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,10.3917190283094,201,1.61e-20,4.49e-20,"****"
"1","value","CBC_cerebellar cortex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,14.5078144442189,201,4.2e-33,3.6e-32,"****"
"1","value","CBC_cerebellar cortex","STR_striatum",202,202,11.0887375596489,201,1.33e-22,4.31e-22,"****"
"1","value","CBC_cerebellar cortex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,14.9614438465152,201,1.66e-34,2.15e-33,"****"
"1","value","CBC_cerebellar cortex","VFC_ventrolateral prefrontal cortex",202,202,12.7549139246172,201,1.1e-27,5.74e-27,"****"
"1","value","DFC_dorsolateral prefrontal cortex","HIP_hippocampus (hippocampal formation)",202,202,-10.1714500090472,201,7.19e-20,1.8e-19,"****"
"1","value","DFC_dorsolateral prefrontal cortex","IPC_posteroventral (inferior) parietal cortex",202,202,11.4020345086111,201,1.5e-23,5.14e-23,"****"
"1","value","DFC_dorsolateral prefrontal cortex","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,5.0793417942207,201,8.62e-07,1.16e-06,"****"
"1","value","DFC_dorsolateral prefrontal cortex","M1C_primary motor cortex (area M1, area 4)",202,202,2.19480865751371,201,0.029,0.033,"*"
"1","value","DFC_dorsolateral prefrontal cortex","MD_mediodorsal nucleus of thalamus",202,202,-7.95593614548798,201,1.27e-13,2.27e-13,"****"
"1","value","DFC_dorsolateral prefrontal cortex","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,-9.11931755772127,201,7.93e-17,1.76e-16,"****"
"1","value","DFC_dorsolateral prefrontal cortex","OFC_orbital frontal cortex",202,202,-15.6906451300941,201,9.41e-37,1.41e-35,"****"
"1","value","DFC_dorsolateral prefrontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,4.10997927594648,201,5.76e-05,7.43e-05,"****"
"1","value","DFC_dorsolateral prefrontal cortex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,6.62678864410698,201,3.08e-10,4.8e-10,"****"
"1","value","DFC_dorsolateral prefrontal cortex","STR_striatum",202,202,-3.72017249811349,201,0.000258,0.00031,"***"
"1","value","DFC_dorsolateral prefrontal cortex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,7.82913000032974,201,2.76e-13,4.87e-13,"****"
"1","value","HIP_hippocampus (hippocampal formation)","IPC_posteroventral (inferior) parietal cortex",202,202,12.7202814877269,201,1.4e-27,7e-27,"****"
