"variable",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"A1C_primary auditory cortex (core)","value","1","2",202,202,-7.64846980757172,201,8.26e-13,1.65e-12,"****"
"A1C_primary auditory cortex (core)","value","1","4",202,202,3.24643392551235,201,0.001,0.002,"**"
"A1C_primary auditory cortex (core)","value","2","3",202,202,15.2130613462249,201,2.78e-35,1.39e-34,"****"
"A1C_primary auditory cortex (core)","value","2","4",202,202,25.127556495049,201,6.13e-64,6.13e-63,"****"
"A1C_primary auditory cortex (core)","value","2","5",202,202,14.3412330078146,201,1.37e-32,4.57e-32,"****"
"A1C_primary auditory cortex (core)","value","3","4",202,202,10.4014067293261,201,1.51e-20,3.77e-20,"****"
"A1C_primary auditory cortex (core)","value","3","5",202,202,3.86483078900977,201,0.00015,0.000214,"***"
"A1C_primary auditory cortex (core)","value","4","5",202,202,-5.90071051671603,201,1.52e-08,2.53e-08,"****"
"AMY_amygdaloid complex","value","1","3",202,202,9.6019213816127,201,3.3e-18,6.6e-18,"****"
"AMY_amygdaloid complex","value","1","4",202,202,9.32660688672569,201,2.04e-17,3.4e-17,"****"
"AMY_amygdaloid complex","value","2","3",202,202,18.7763150184727,201,4.27e-46,2.14e-45,"****"
"AMY_amygdaloid complex","value","2","4",202,202,12.2203418596778,201,4.81e-26,1.6e-25,"****"
"AMY_amygdaloid complex","value","2","5",202,202,3.98966301119676,201,9.27e-05,0.000132,"***"
"AMY_amygdaloid complex","value","3","4",202,202,-3.78362485163958,201,0.000204,0.000255,"***"
"AMY_amygdaloid complex","value","3","5",202,202,-21.6280527113387,201,2.28e-54,2.28e-53,"****"
"AMY_amygdaloid complex","value","4","5",202,202,-11.8522284162779,201,6.43e-25,1.61e-24,"****"
"CBC_cerebellar cortex","value","1","2",202,202,19.5474593097821,201,2.26e-48,5.65e-48,"****"
"CBC_cerebellar cortex","value","1","3",202,202,20.3806625314468,201,8.44e-51,4.22e-50,"****"
"CBC_cerebellar cortex","value","1","4",202,202,21.175717983317,201,4.39e-53,4.39e-52,"****"
"CBC_cerebellar cortex","value","1","5",202,202,19.9738654920763,201,1.28e-49,4.27e-49,"****"
"CBC_cerebellar cortex","value","2","3",202,202,13.603157774117,201,2.64e-30,4.4e-30,"****"
"CBC_cerebellar cortex","value","2","4",202,202,17.2902810671691,201,1.23e-41,2.46e-41,"****"
"CBC_cerebellar cortex","value","2","5",202,202,12.918777446715,201,3.43e-28,4.9e-28,"****"
"CBC_cerebellar cortex","value","3","5",202,202,-5.34841914946728,201,2.4e-07,2.67e-07,"****"
"CBC_cerebellar cortex","value","4","5",202,202,-6.43906281788488,201,8.67e-10,1.08e-09,"****"
"DFC_dorsolateral prefrontal cortex","value","1","3",202,202,9.31205412747561,201,2.24e-17,4.48e-17,"****"
"DFC_dorsolateral prefrontal cortex","value","1","4",202,202,3.74213798835791,201,0.000238,0.00034,"***"
"DFC_dorsolateral prefrontal cortex","value","2","3",202,202,22.8833253270951,201,7.05e-58,3.53e-57,"****"
"DFC_dorsolateral prefrontal cortex","value","2","4",202,202,6.6055701568613,201,3.47e-10,5.78e-10,"****"
"DFC_dorsolateral prefrontal cortex","value","2","5",202,202,-2.67353775928771,201,0.008,0.01,"*"
"DFC_dorsolateral prefrontal cortex","value","3","4",202,202,-18.8253485323958,201,3.05e-46,1.02e-45,"****"
"DFC_dorsolateral prefrontal cortex","value","3","5",202,202,-31.4506550003853,201,1.46e-79,1.46e-78,"****"
"DFC_dorsolateral prefrontal cortex","value","4","5",202,202,-12.2055906021551,201,5.34e-26,1.34e-25,"****"
"HIP_hippocampus (hippocampal formation)","value","1","2",202,202,5.95521764664972,201,1.14e-08,2.28e-08,"****"
"HIP_hippocampus (hippocampal formation)","value","1","3",202,202,5.12446742375802,201,6.98e-07,1.16e-06,"****"
"HIP_hippocampus (hippocampal formation)","value","1","4",202,202,21.4145689064867,201,9.17e-54,2.29e-53,"****"
"HIP_hippocampus (hippocampal formation)","value","1","5",202,202,4.81712285296384,201,2.86e-06,4.09e-06,"****"
"HIP_hippocampus (hippocampal formation)","value","2","3",202,202,-2.09239746649506,201,0.038,0.042,"*"
"HIP_hippocampus (hippocampal formation)","value","2","4",202,202,32.0948402392242,201,4.85e-81,1.62e-80,"****"
"HIP_hippocampus (hippocampal formation)","value","3","4",202,202,33.7015762870272,201,1.22e-84,6.1e-84,"****"
"HIP_hippocampus (hippocampal formation)","value","3","5",202,202,2.13302031787766,201,0.034,0.042,"*"
"HIP_hippocampus (hippocampal formation)","value","4","5",202,202,-45.229085040456,201,2.58e-107,2.58e-106,"****"
"IPC_posteroventral (inferior) parietal cortex","value","1","2",202,202,-3.14042183255506,201,0.002,0.003,"**"
"IPC_posteroventral (inferior) parietal cortex","value","1","3",202,202,-7.10633915174722,201,2.03e-11,4.06e-11,"****"
"IPC_posteroventral (inferior) parietal cortex","value","1","4",202,202,-2.41458871755563,201,0.017,0.017,"*"
"IPC_posteroventral (inferior) parietal cortex","value","1","5",202,202,-3.79724323160305,201,0.000194,0.000323,"***"
"IPC_posteroventral (inferior) parietal cortex","value","2","3",202,202,-15.8839708457525,201,2.4e-37,1.2e-36,"****"
"IPC_posteroventral (inferior) parietal cortex","value","2","4",202,202,2.73892699671944,201,0.007,0.008,"**"
"IPC_posteroventral (inferior) parietal cortex","value","2","5",202,202,-2.42312383995882,201,0.016,0.017,"*"
"IPC_posteroventral (inferior) parietal cortex","value","3","4",202,202,17.8577319459575,201,2.38e-43,2.38e-42,"****"
"IPC_posteroventral (inferior) parietal cortex","value","3","5",202,202,11.6467493809557,201,2.72e-24,9.07e-24,"****"
"IPC_posteroventral (inferior) parietal cortex","value","4","5",202,202,-7.16296516732966,201,1.46e-11,3.65e-11,"****"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","1","3",202,202,-7.25361662153664,201,8.61e-12,1.44e-11,"****"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","1","4",202,202,2.06094249576924,201,0.041,0.047,"*"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","1","5",202,202,-2.04735163780584,201,0.042,0.047,"*"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","2","3",202,202,-12.6866701459632,201,1.78e-27,5.93e-27,"****"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","2","4",202,202,8.73736269383961,201,9.39e-16,1.88e-15,"****"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","2","5",202,202,-2.39924089607428,201,0.017,0.025,"*"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","3","4",202,202,21.0038076337628,201,1.36e-52,1.36e-51,"****"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","3","5",202,202,10.0791825779302,201,1.34e-19,3.35e-19,"****"
"ITC_inferolateral temporal cortex (area TEv, area 20)","value","4","5",202,202,-20.1244411407065,201,4.67e-50,2.34e-49,"****"
"M1C_primary motor cortex (area M1, area 4)","value","1","4",202,202,7.19833207026002,201,1.19e-11,1.98e-11,"****"
"M1C_primary motor cortex (area M1, area 4)","value","1","5",202,202,4.84444309270846,201,2.53e-06,3.61e-06,"****"
"M1C_primary motor cortex (area M1, area 4)","value","2","3",202,202,3.53581893986606,201,0.000505,0.000631,"***"
"M1C_primary motor cortex (area M1, area 4)","value","2","4",202,202,18.2992472492229,201,1.13e-44,5.65e-44,"****"
"M1C_primary motor cortex (area M1, area 4)","value","2","5",202,202,12.1023807475217,201,1.11e-25,2.78e-25,"****"
"M1C_primary motor cortex (area M1, area 4)","value","3","4",202,202,18.6670562908874,201,9.02e-46,9.02e-45,"****"
"M1C_primary motor cortex (area M1, area 4)","value","3","5",202,202,13.1804605167026,201,5.34e-29,1.78e-28,"****"
"M1C_primary motor cortex (area M1, area 4)","value","4","5",202,202,-10.4960962113181,201,7.88e-21,1.58e-20,"****"
"MD_mediodorsal nucleus of thalamus","value","1","2",202,202,22.0529420401532,201,1.45e-55,1.45e-54,"****"
"MD_mediodorsal nucleus of thalamus","value","1","3",202,202,10.5100425824116,201,7.17e-21,2.39e-20,"****"
"MD_mediodorsal nucleus of thalamus","value","1","4",202,202,12.3561158967207,201,1.85e-26,9.25e-26,"****"
"MD_mediodorsal nucleus of thalamus","value","1","5",202,202,7.79163862773657,201,3.47e-13,6.94e-13,"****"
"MD_mediodorsal nucleus of thalamus","value","2","3",202,202,-3.96014756931475,201,0.000104,0.000149,"***"
"MD_mediodorsal nucleus of thalamus","value","2","5",202,202,-3.6268100785923,201,0.000364,0.000455,"***"
"MD_mediodorsal nucleus of thalamus","value","3","4",202,202,6.7648539015927,201,1.42e-10,2.37e-10,"****"
"MD_mediodorsal nucleus of thalamus","value","4","5",202,202,-9.7909553628851,201,9.34e-19,2.34e-18,"****"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","1","2",202,202,8.75108408970659,201,8.6e-16,2.15e-15,"****"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","1","3",202,202,6.39979713513171,201,1.07e-09,1.78e-09,"****"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","1","4",202,202,9.39756005145585,201,1.28e-17,6.4e-17,"****"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","1","5",202,202,5.43824470721648,201,1.55e-07,1.94e-07,"****"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","2","4",202,202,4.43002933416238,201,1.55e-05,1.72e-05,"****"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","2","5",202,202,-8.90739985438667,201,3.14e-16,1.05e-15,"****"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","3","4",202,202,6.84279239162074,201,9.18e-11,1.84e-10,"****"
