,Structure,window,pvalAVG,log2pvalAVG,,
1,Amygdala,Fetal_1,3.39428E-05,-14.84653521,,
2,Cerebellum,Fetal_1,2.1407E-54,-178.2860366,,
3,Hippocampus,Fetal_1,3.98269E-19,-61.12289086,,
4,Mediodorsal Nucleus of the Thalamus,Fetal_1,4.46844E-45,-147.3269916,,
5,Neocortex,Fetal_1,0.200033763,-2.321684564,,
6,Striatum,Fetal_1,0.200000179,-2.3219268,,
7,Amygdala,Fetal_2,0.080139904,-3.641335405,,
8,Cerebellum,Fetal_2,0.200000003,-2.321928076,,
9,Hippocampus,Fetal_2,0.246252601,-2.021789133,,
10,Mediodorsal Nucleus of the Thalamus,Fetal_2,0.046252637,-4.434320581,,
11,Neocortex,Fetal_2,1.54954E-07,-22.62165665,,
12,Striatum,Fetal_2,0.080139783,-3.641337594,,
13,Amygdala,Fetal_3,0.044069218,-4.5040849,,
14,Cerebellum,Fetal_3,1.27431E-16,-52.80112976,,
15,Hippocampus,Fetal_3,0.039956834,-4.645413911,,
16,Mediodorsal Nucleus of the Thalamus,Fetal_3,0.274921756,-1.862907014,,
17,Neocortex,Fetal_3,0.078989093,-3.662202726,,
18,Striatum,Fetal_3,0.200033276,-2.321688081,,
19,Amygdala,Birth/Inf,0.228138612,-2.132017455,,
20,Cerebellum,Birth/Inf,0.716870806,-0.480214953,,
21,Hippocampus,Birth/Inf,0.351484571,-1.508466734,,
22,Mediodorsal Nucleus of the Thalamus,Birth/Inf,0.715131504,-0.483719534,,
23,Neocortex,Birth/Inf,0.547824047,-0.868215499,,
24,Striatum,Birth/Inf,0.621200648,-0.686868759,,
25,Amygdala,Inf/Child,0.217953357,-2.19790867,,
26,Cerebellum,Inf/Child,4.80818E-13,-40.91957353,,
27,Hippocampus,Inf/Child,0.217757068,-2.199208545,,
28,Mediodorsal Nucleus of the Thalamus,Inf/Child,0.200201083,-2.320478314,,
29,Neocortex,Inf/Child,0.200004905,-2.321892713,,
30,Striatum,Inf/Child,1.10328E-07,-23.11169366,,
31,Amygdala,Child,0.40314964,-1.310612659,,
32,Cerebellum,Child,1.63693E-55,-181.9950493,,
33,Hippocampus,Child,0.402667577,-1.312338783,,
34,Mediodorsal Nucleus of the Thalamus,Child,0.203141214,-2.299445128,,
35,Neocortex,Child,0.200008446,-2.321867171,,
36,Striatum,Child,0.40266759,-1.312338739,,
37,Amygdala,Adolescence,0.253477787,-1.980068767,,
38,Cerebellum,Adolescence,1.45312E-51,-168.8791833,,
39,Hippocampus,Adolescence,0.053478436,-4.224898903,,
40,Mediodorsal Nucleus of the Thalamus,Adolescence,0.200247624,-2.320142969,,
41,Neocortex,Adolescence,0.000246975,-11.9833465,,
42,Striatum,Adolescence,1.90484E-12,-38.93346482,,
43,Amygdala,Adult,0.201176791,-2.313464216,,
44,Cerebellum,Adult,5.8304E-150,-495.7456144,,
45,Hippocampus,Adult,0.200000359,-2.321925507,,
46,Mediodorsal Nucleus of the Thalamus,Adult,0.201176393,-2.313467073,,
47,Neocortex,Adult,0.4,-1.321928095,,
48,Striatum,Adult,0.20000004,-2.321927808,,
