,Structure,window,pvalAVG,log2pvalAVG,,
1,Amygdala,Fetal_1,2.41753E-06,-18.65803434,,
2,Cerebellum,Fetal_1,0.005484196,-7.510504272,,
3,Hippocampus,Fetal_1,2.41753E-06,-18.65803434,,
4,Mediodorsal Nucleus of the Thalamus,Fetal_1,0.003102062,-8.332556852,,
5,Neocortex,Fetal_1,0.002382136,-8.713528638,,
6,Striatum,Fetal_1,2.04078E-09,-28.86823436,,
7,Amygdala,Fetal_2,0.407558146,-1.294922191,,
8,Cerebellum,Fetal_2,9.57812E-05,-13.34989869,,
9,Hippocampus,Fetal_2,0.297120844,-1.750878277,,
10,Mediodorsal Nucleus of the Thalamus,Fetal_2,0.309726364,-1.690933905,,
11,Neocortex,Fetal_2,0.397206266,-1.332039714,,
12,Striatum,Fetal_2,0.209521464,-2.254830049,,
13,Amygdala,Fetal_3,0.354830452,-1.494798264,,
14,Cerebellum,Fetal_3,0.41310821,-1.275408363,,
15,Hippocampus,Fetal_3,0.429104818,-1.220597994,,
16,Mediodorsal Nucleus of the Thalamus,Fetal_3,6.08639E-06,-17.32598246,,
17,Neocortex,Fetal_3,0.512743753,-0.963690085,,
18,Striatum,Fetal_3,0.200120257,-2.321060884,,
19,Amygdala,Birth/Inf,0.808752288,-0.306230206,,
20,Cerebellum,Birth/Inf,0.345793788,-1.532016145,,
21,Hippocampus,Birth/Inf,0.317512673,-1.655113917,,
22,Mediodorsal Nucleus of the Thalamus,Birth/Inf,0.811391204,-0.301530431,,
23,Neocortex,Birth/Inf,0.689662941,-0.536036649,,
24,Striatum,Birth/Inf,0.751600646,-0.411961789,,
25,Amygdala,Inf/Child,0.538725355,-0.892378128,,
26,Cerebellum,Inf/Child,0.271554778,-1.880684846,,
27,Hippocampus,Inf/Child,0.209697499,-2.253618441,,
28,Mediodorsal Nucleus of the Thalamus,Inf/Child,0.540833871,-0.886742588,,
29,Neocortex,Inf/Child,0.468487553,-1.093917375,,
30,Striatum,Inf/Child,0.266926372,-1.905486244,,
31,Amygdala,Child,0.417394032,-1.260518121,,
32,Cerebellum,Child,0.413369881,-1.27449482,,
33,Hippocampus,Child,0.033700096,-4.891103482,,
34,Mediodorsal Nucleus of the Thalamus,Child,7.03861E-06,-17.11627829,,
35,Neocortex,Child,0.40982409,-1.286923304,,
36,Striatum,Child,0.006894972,-7.180239542,,
37,Amygdala,Adolescence,0.236711668,-2.078797272,,
38,Cerebellum,Adolescence,7.58676E-55,-179.7825619,,
39,Hippocampus,Adolescence,0.247940482,-2.011934252,,
40,Mediodorsal Nucleus of the Thalamus,Adolescence,0.237368338,-2.074800586,,
41,Neocortex,Adolescence,0.200244872,-2.320162801,,
42,Striatum,Adolescence,0.025895174,-5.271172925,,
43,Amygdala,Adult,0.386977337,-1.369679015,,
44,Cerebellum,Adult,1.0343E-144,-478.3090603,,
45,Hippocampus,Adult,0.25571111,-1.967413252,,
46,Mediodorsal Nucleus of the Thalamus,Adult,1.76064E-49,-161.9583727,,
47,Neocortex,Adult,5.94044E-23,-73.83377599,,
48,Striatum,Adult,0.268733773,-1.895750454,,
