Structure	window	pvalAVG	log2(pvalAVG)
Amygdala - AkeyPey	Fetal_1	0.0048662402639688	-7.68297673152939
Cerebellum - AkeyPey	Fetal_1	7.8823066547656805e-25	-80.0695844947327
Neocortex - AkeyPey	Fetal_1	0.0029147028641216	-8.42243546755121
Striatum - AkeyPey	Fetal_1	3.1201203944611303e-09	-28.2557511553023
Cerebellum - AkeyPey	Fetal_2	0.0001519939460024	-12.6836985180265
Neocortex - AkeyPey	Fetal_2	0.0029786379993544	-8.39113148442826
Cerebellum - AkeyPey	Fetal_3	1.29910241194553e-07	-22.8759814971809
Hippocampus - AkeyPey	Fetal_3	0.0011575316519908	-9.75473264102896
Cerebellum - AkeyPey	Birth/Inf	0.0035860430688787	-8.12339146938256
Cerebellum - AkeyPey	Adolescence	8.771120482422279e-49	-159.641715495388
Amygdala - AkeyPey	Adult	0.0051734382834974	-7.59466086566179
Cerebellum - AkeyPey	Adult	1.37719059209075e-107	-354.984577922279
Hippocampus - AkeyPey	Adult	0.0057025973861142	-7.45416510528786
Mediodorsal Nucleus of the Thalamus - AkeyPey	Adult	0.010876035649572	-6.52270340441228
Neocortex - AkeyPey	Adult	1.9586810104395102e-15	-48.8590389629838
Striatum - AkeyPey	Adult	1.1084008998711201e-20	-66.2900821105422
