Structure	window	pvalAVG	log2(pvalAVG)
Amygdala - Akey	Fetal_1	1.8538823880842302e-09	-29.0068031329515
Hippocampus - Akey	Fetal_1	2.04124786267615e-11	-35.511757668572
Cerebellum - Akey	Fetal_2	4.79004162865789e-06	-17.6715303753257
Hippocampus - Akey	Fetal_2	0.0021784428359013	-8.84248702839488
Striatum - Akey	Fetal_2	0.0101726184253326	-6.61916511401825
Mediodorsal Nucleus of the Thalamus - Akey	Fetal_3	7.83941565069288e-07	-20.2827505442163
Striatum - Akey	Fetal_3	0.0052301412689123	-7.57893436969909
Cerebellum - Akey	Birth/Inf	5.63702260869028e-07	-20.7585633104312
Hippocampus - Akey	Birth/Inf	0.0326586103523264	-4.9363927852946
Striatum - Akey	Birth/Inf	0.0348054802297255	-4.84454170905188
Neocortex - Akey	Inf/Child	0.0021799574507438	-8.8414843084672
Amygdala - Akey	Child	0.0256337201806898	-5.28581331993356
Cerebellum - Akey	Child	1.0576551152000499e-28	-92.9331173930101
Mediodorsal Nucleus of the Thalamus - Akey	Child	0.0173235844598591	-5.85111871771092
Cerebellum - Akey	Adolescence	4.706384227318241e-47	-153.896001353292
Neocortex - Akey	Adolescence	0.0004748432294271	-11.0402610965471
Striatum - Akey	Adolescence	7.23583725930833e-06	-17.0764086085498
Cerebellum - Akey	Adult	5.54374593591557e-148	-489.174496901546
Mediodorsal Nucleus of the Thalamus - Akey	Adult	2.9527816988684903e-20	-64.8764871967449
Neocortex - Akey	Adult	3.08174633006776e-20	-64.8148137845691
Striatum - Akey	Adult	6.15572192464482e-10	-30.597352887285
