"","Structure","window","pvalAVG","log2pvalAVG"
"1","Amygdala","Prenatal",0.784513346043447,-0.350130104536667
"2","Cerebellum","Prenatal",0.00360155019228041,-8.11716627440302
"3","Hippocampus","Prenatal",0.680072737026074,-0.556239037149634
"4","Mediodorsal Nucleus of the Thalamus","Prenatal",0.800138710231422,-0.32167797086722
"5","Neocortex","Prenatal",0.753002744495141,-0.409272971740074
"6","Striatum","Prenatal",0.645654136442597,-0.631166544922797
"7","Amygdala","Infant",0.00304471646297563,-8.35947640021027
"8","Cerebellum","Infant",0.464007644634689,-1.10777952059981
"9","Hippocampus","Infant",0.223513769930175,-2.16156438116095
"10","Mediodorsal Nucleus of the Thalamus","Infant",0.100336106965598,-3.31708722706004
"11","Neocortex","Infant",0.609528458689141,-0.71423451349847
"12","Striatum","Infant",0.446543960617314,-1.16312588450689
"13","Amygdala","Child",0.676692294020771,-0.563428135246811
"14","Cerebellum","Child",0.592221656074989,-0.755790847633053
"15","Hippocampus","Child",0.232599881302211,-2.10407773429616
"16","Mediodorsal Nucleus of the Thalamus","Child",0.440548471587441,-1.18262733369478
"17","Neocortex","Child",0.585356132405382,-0.77261346313556
"18","Striatum","Child",0.0631444154622126,-3.9852010431132
"19","Amygdala","Adolescent",0.252179682654428,-1.98747604806519
"20","Cerebellum","Adolescent",0.402567075358286,-1.31269891110231
"21","Hippocampus","Adolescent",0.263130524620818,-1.92614947593632
"22","Mediodorsal Nucleus of the Thalamus","Adolescent",0.233709670800413,-2.09721066146355
"23","Neocortex","Adolescent",0.228319095220818,-2.13087657203807
"24","Striatum","Adolescent",0.0460582247755392,-4.44039738343949
"25","Amygdala","Adult",0.203144647590317,-2.29942074162347
"26","Cerebellum","Adult",0.000760608019248719,-10.3605592298665
"27","Hippocampus","Adult",0.230450159919541,-2.11747332606267
"28","Mediodorsal Nucleus of the Thalamus","Adult",0.206603170932116,-2.27506569812422
"29","Neocortex","Adult",0.46075215180718,-1.11793719133349
"30","Striatum","Adult",0.163507337142772,-2.61257271896835
