,Structure,window,pvalAVG,log2pvalAVG
1,Amygdala,Fetal_1,4.5679E-11,-34.34967769
2,Cerebellum,Fetal_1,0.2,-2.321928095
3,Hippocampus,Fetal_1,8.95703E-58,-189.5088087
4,Mediodorsal Nucleus of the Thalamus,Fetal_1,3.68099E-07,-21.37340121
5,Neocortex,Fetal_1,0.2,-2.321928095
6,Striatum,Fetal_1,3.68099E-07,-21.37340121
7,Amygdala,Fetal_2,0.200000002,-2.321928078
8,Cerebellum,Fetal_2,0.042539109,-4.555066379
9,Hippocampus,Fetal_2,0.2,-2.321928095
10,Mediodorsal Nucleus of the Thalamus,Fetal_2,0.015467758,-6.014592072
11,Neocortex,Fetal_2,0.012264878,-6.349323255
12,Striatum,Fetal_2,0.045741991,-4.450337025
13,Amygdala,Fetal_3,0.400552764,-1.319935798
14,Cerebellum,Fetal_3,0.441179745,-1.180561538
15,Hippocampus,Fetal_3,0.205499069,-2.282796237
16,Mediodorsal Nucleus of the Thalamus,Fetal_3,0.201277201,-2.312744331
17,Neocortex,Fetal_3,0.114347227,-3.128506715
18,Striatum,Fetal_3,0.465954522,-1.101738942
19,Amygdala,Birth/Inf,0.462619363,-1.112102443
20,Cerebellum,Birth/Inf,0.613606347,-0.70461469
21,Hippocampus,Birth/Inf,0.443776486,-1.172094867
22,Mediodorsal Nucleus of the Thalamus,Birth/Inf,0.186418338,-2.423384309
23,Neocortex,Birth/Inf,0.289976487,-1.785992175
24,Striatum,Birth/Inf,0.611201022,-0.71028114
25,Amygdala,Inf/Child,0.466811553,-1.09908783
26,Cerebellum,Inf/Child,3.70175E-08,-24.68721899
27,Hippocampus,Inf/Child,0.050788878,-4.29934359
28,Mediodorsal Nucleus of the Thalamus,Inf/Child,0.359224022,-1.477044267
29,Neocortex,Inf/Child,0.327990241,-1.608275206
30,Striatum,Inf/Child,0.447357517,-1.160499837
31,Amygdala,Child,0.339571471,-1.55821284
32,Cerebellum,Child,0.260923512,-1.938301143
33,Hippocampus,Child,0.272074856,-1.877924458
34,Mediodorsal Nucleus of the Thalamus,Child,0.529671723,-0.916829603
35,Neocortex,Child,0.342864301,-1.544290396
36,Striatum,Child,2.40386E-19,-61.85128102
37,Amygdala,Adolescence,0.000169493,-12.52648579
38,Cerebellum,Adolescence,0.000824656,-10.24391924
39,Hippocampus,Adolescence,0.232314246,-2.105850467
40,Mediodorsal Nucleus of the Thalamus,Adolescence,0.241964969,-2.047129902
41,Neocortex,Adolescence,0.260479048,-1.940760765
42,Striatum,Adolescence,0.251483496,-1.991464372
43,Amygdala,Adult,3.70366E-19,-61.22768213
44,Cerebellum,Adult,3.5934E-65,-214.0799773
45,Hippocampus,Adult,5.6053E-09,-27.4105624
46,Mediodorsal Nucleus of the Thalamus,Adult,0.000870678,-10.16557341
47,Neocortex,Adult,2.58515E-08,-25.20517801
48,Striatum,Adult,0.000870698,-10.16553987
