"Structure","Fetal_1","Fetal_2","Fetal_3","Birth/Ifan","Infan/Child.","Child.","Adolescence","Adult"
"A1C",2.89591444265363,2.7574921285471,2.74291136133787,2.63098144380977,2.39436852137715,2.56416631149602,2.47942774297339,2.43234168243726
"AMY",2.3016286407095,2.39756805572574,2.31249209957372,2.20282555115202,2.17611660207128,2.25729176670828,2.28273915267603,2.21462779023966
"CBC",2.41921123917572,2.36159758870533,2.53716119188556,2.63427648278034,2.55363074681505,2.71967367507676,2.71827474745961,2.67550143189905
"DFC",2.81728583002637,2.50421969264494,2.38031181693332,2.4555812575565,2.59041160706135,2.43936113562463,2.42774740926843,2.40340918687637
"HIP",2.42748361431948,2.41598272421926,2.51119072177674,2.33917445726932,2.18556777151314,2.51607263208569,2.07893768277389,2.28453218248525
"IPC",2.93247804561716,2.76180254473524,2.74932595358001,2.5885485159566,2.53843183730582,2.62465212314982,2.46714451610042,2.42682173779873
"ITC",2.85942283332909,2.58416277450509,2.56687866741604,2.54779077382086,2.51182880685206,2.58335639452018,2.37621202181668,2.39122409193903
"M1C",2.80185483004824,2.71319279322461,2.71118894264976,2.44486434955187,2.40116909147144,2.58053517121857,2.51298605206586,2.44024319854384
"MD",2.25607868345539,2.30436339072876,2.35289326148137,2.18925659539265,2.25412278176195,2.24614560311889,2.28136620554603,2.15308813243966
"MFC",2.74089727060878,2.40860702896976,2.40308636700507,2.43525575574813,2.47490246383671,2.42239321793733,2.32922503775193,2.28767288340294
"OFC",2.76075118664708,2.34826873602416,2.40544478947969,2.50893144882226,2.49850213189713,2.37600892325636,2.37377476345323,2.3285715753049
"S1C",2.88555769056635,2.78466400033805,2.83297187143649,2.47745206614119,2.59353619687072,2.63244749871694,2.50630658365511,2.4515337980337
"STC",2.88001726380967,2.63488641358009,2.71025681766496,2.57992638489492,2.48369657774499,2.5248032899333,2.45689394873596,2.44708274830144
"STR",2.47788244039134,2.49396310366302,2.45093382152072,2.1493906965619,2.14673740095617,2.46936991557127,2.25800940988939,2.11473380698322
"V1C",2.86317335092345,2.66296008263286,2.61453102113792,2.63728725246293,2.44516852976478,2.53693391580752,2.42961670636258,2.61515486944532
"VFC",2.83948446671792,2.55429582550328,2.5192038164882,2.43326675222494,2.49583211197868,2.48250233151528,2.40785746980225,2.39580878131911
