"Structure","Fetal1","Fetal2","Fetal3","Birth/Ifan","Infan/Childh","Childh","Adolescence","Adulth"
"A1C",2.177433510188,2.18611400772678,2.18243841115757,2.19454714569056,2.17642541379287,2.18265500731801,2.1326043823783,2.1249979814672
"AMY",2.16695942222285,2.15997241899259,2.14771334178487,2.13993645382752,2.1318649017449,2.15306880225611,2.14816930134566,2.11847556885606
"CBC",2.23135645935533,2.26477956523655,2.24869573711704,2.20119506257361,2.10799778525464,2.16124402702073,2.14078606860381,2.14473724356847
"DFC",2.21948829862734,2.16518247706733,2.14669422487349,2.1799880067392,2.20736952328938,2.15246521696336,2.14950165662704,2.11169029732804
"HIP",2.16320219744049,2.1689540290929,2.19911871641729,2.14584938892619,2.14656243728149,2.18586494571865,2.11562063709858,2.14129329513711
"IPC",2.20201394733391,2.16101912177011,2.16880520258321,2.18510922313267,2.20078111798592,2.20949422364438,2.14354919485791,2.1347089406003
"ITC",2.18578091776685,2.18120397138547,2.18360463878112,2.17776522322566,2.19604143671125,2.214126144942,2.13196147128695,2.13661653907227
"M1C",2.2106065666186,2.17223711049937,2.17875786823641,2.16821695944309,2.1934837011218,2.14858553716905,2.1275983422841,2.08588707101051
"MD",2.22337712442781,2.22802793340361,2.25131003427375,2.13377991975729,2.22604283527025,2.25612492511596,2.24140925633491,2.22710715568603
"MFC",2.2229673810993,2.18028759928602,2.14650864625241,2.16977385338302,2.16592957045437,2.1714419435285,2.13135718083694,2.11122546766698
"OFC",2.22782341314589,2.15068230599564,2.17556914693642,2.17288105814312,2.19421455291911,2.12086439143081,2.1352522353242,2.09846428246233
"S1C",2.21126107156346,2.17568995397805,2.18934583819808,2.16893658832143,2.22465644006274,2.17078268166178,2.1448644554818,2.10167095032922
"STC",2.18234321480831,2.16988098284799,2.184873395601,2.18889749678793,2.19336355328302,2.21615647486177,2.14922328792698,2.1358924927102
"STR",2.13904130611145,2.15520572144984,2.12342166283105,2.14313509343307,2.11247803357879,2.16902714030342,2.13713144562477,2.0989011148293
"V1C",2.20515203074883,2.19440246696781,2.16730599441924,2.1978932751799,2.18237184726017,2.18997979237606,2.13122118922172,2.1251650375843
"VFC",2.21395091832587,2.1664722662819,2.17366307429421,2.16127690305629,2.19372692954107,2.17167352075761,2.1262123702804,2.10465941335002
