"Structure","Fetal1","Fetal2","Fetal3","Birth/Ifan","Infan/Childh","Childh","Adolescence","Adulth"
"A1C",3.56044380983109,3.58637654122133,3.59794358085331,3.64256366037862,3.62339788631747,3.6455412798407,3.64663848048367,3.62663090563166
"AMY",3.55765023635857,3.57888800578173,3.59900251742589,3.57129037389972,3.59649713731404,3.63520510125105,3.64644035453723,3.63175395028807
"CBC",3.56220410437957,3.56036313358733,3.56163038524887,3.55645007377338,3.53702766257985,3.56934178770069,3.57303537686419,3.56217335537256
"DFC",3.55743322771715,3.58383253061909,3.59382503388536,3.62659693395136,3.62949022913896,3.62022990249273,3.64744873708617,3.6326621886871
"HIP",3.55815705606315,3.58894359045133,3.63006732889701,3.57892578835474,3.59832289234538,3.6363517734871,3.59570775230098,3.62167352102472
"IPC",3.55855317563496,3.58481734857855,3.60775558586827,3.62819591166563,3.62454534855502,3.64199635080281,3.64782409526772,3.63469772160744
"ITC",3.56552784849909,3.5942345793516,3.59468797876339,3.62929080203827,3.62693306155175,3.64181208233571,3.64832396976992,3.64089452944069
"M1C",3.55382870645444,3.56145121524325,3.61949699712274,3.5951723006406,3.62550141245404,3.62595137191179,3.65538085115164,3.62022587203404
"MD",3.56419942220317,3.60380478638067,3.59751105627178,3.51993840747394,3.58421030679843,3.61072828719748,3.59462298321673,3.59256867166229
"MFC",3.55066882891284,3.58284744632226,3.60899402873548,3.63171132590059,3.64609364563682,3.62955859892643,3.64925236317269,3.63545055217844
"OFC",3.56195218788293,3.58538089171885,3.61109246604678,3.61247616290107,3.63514459713735,3.6277368324679,3.64881797482429,3.62529581589013
"S1C",3.55814629018667,3.5710206644377,3.60370923020528,3.61683155994154,3.62391643645021,3.6259588245729,3.64850760008636,3.6196790926945
"STC",3.55059994620776,3.58494412355915,3.60658897136866,3.64529460611473,3.63169229611323,3.62717577028456,3.64821514883248,3.63877005821266
"STR",3.55457933488679,3.59550844484906,3.58497366356191,3.54024179261088,3.54088756434953,3.60760395861544,3.60773708039249,3.59460690028011
"V1C",3.55011567830236,3.5741685960833,3.58737243378537,3.63267574188016,3.61929620517806,3.61674656522198,3.63371470018826,3.62429641115859
"VFC",3.56275013249622,3.5892608626491,3.60379881101651,3.61660393784677,3.63763825677532,3.63935522642968,3.64074759346177,3.62946203018799
