"Structure","Fetal_1","Fetal_2","Fetal_3","Birth/Infancy","Infancy/Child","Child","Adolescence","Adult"
"A1C",0.228355005948653,0.19330692865376,0.252582843314557,0.395590945705294,0.432355483292261,0.375345069399277,0.331030677506713,0.287664010975403
"AMY",0.249978201277378,0.242705938952843,0.359254737865122,0.443685091951182,0.397017998678223,0.361260232142067,0.24207444101271,0.326071148528881
"CBC",0.213914710568962,0.319441097211727,0.237055854327458,0.401824571052692,0.370798028494395,0.287235530316746,0.194919469683974,0.264905950046286
"DFC",0.209716216807889,0.262103483303073,0.226426543974324,0.441807935215401,0.467625267269461,0.396505237573918,0.225277963241211,0.277149514562645
"HIP",0.231698358862919,0.419343085283152,0.26054952518247,0.513114638847609,0.400806389029286,0.380061293526846,0.332594974566368,0.33245803137904
"IPC",0.197138948944084,0.178157106288732,0.232451630084067,0.510731947968097,0.488904106065456,0.410309122787746,0.270429526390197,0.236645348026154
"ITC",0.236443254466185,0.172692523858513,0.271852927473113,0.43306324297695,0.453951317228793,0.39052084449625,0.292558500834906,0.250913630360656
"MD",0.283226347741418,0.249955108967886,0.380352678389284,0.587379138049941,0.456243317274327,0.179310562714641,0.347455037863766,0.333361841085371
"MFC",0.262925931815781,0.376880819092889,0.22205335989498,0.450709180013247,0.43705737260389,0.431520765657924,0.318973911877949,0.25335301999854
"OFC",0.227578674022696,0.19217114568187,0.204634072103777,0.447902548457888,0.427735645005774,0.347706560475371,0.238800948042243,0.253673609008787
"STC",0.215834299271133,0.223705707900316,0.235499891087573,0.374209482399414,0.447084969709306,0.402942484543715,0.332878359429967,0.225048224464041
"STR",0.302616047074381,0.233011809616702,0.252630337665447,0.473744450425663,0.457317499563335,0.166336174308283,0.179515624710345,0.225252657859558
"V1C",0.176572702270968,0.252055829800967,0.282302561038297,0.482980065836617,0.468172844549287,0.43780219640539,0.358948576502509,0.312169511204798
"VFC",0.211440664982056,0.221298945376748,0.224744231905802,0.435533385544128,0.435212304350801,0.378893657510571,0.248769244951025,0.239175722251379
