"","MD - R2"
"ZNF697",0.937299183003105
"CTTNBP2NL",0.816846326371755
"ST7",0.808013110242661
"IGSF3",0.797249408806696
"CCDC71L",0.74738399152032
"ROBO2",0.713363184146236
"IFRD1",0.69907110806106
"PTPRZ1",0.692385151021561
"NPBWR1",0.690505361512896
"TOX",0.6900904910812
"DCLRE1B",0.680178090024096
"FOXP2",0.667469389095362
"TES",0.662260088457856
"GNAI3",0.648728584245494
"EPHA3",0.647667248477117
"TGS1",0.647225289056997
"LYN",0.643708691352439
"UBXN2B",0.639873424649657
"RSBN1",0.628678332495514
"HTR1F",0.619094669169481
"CFTR",0.606887284509227
"FAM212B",0.582949233530269
"CGGBP1",0.570714087205994
"STRIP1",0.569422647663282
"ST18",0.569003591486206
"PTGFRN",0.55914275213381
"PRKAR2B",0.556173493738803
"DDX20",0.554500103776704
"ROBO1",0.539577423628621
"TRIM33",0.533401672646437
"SORT1",0.529106240718303
"WNT2",0.522775930188643
"ZNF654",0.520782575415345
"LRIG2",0.520027359700958
"CBLL1",0.516080246516492
"WDR3",0.516031183970419
