"","MD Thalamus - R2"
"HBG2",0.999999994840906
"HBG1",0.999999921377388
"COL3A1",0.999999919128246
"MYO16",0.999999867007618
"GMIP",0.999999860387299
"CLMP",0.999999788627714
"FNBP4",0.999999611474559
"MAP1B",0.999999591372603
"CTGF",0.999999573793142
"ADORA1",0.999999134163498
"SOX4",0.999998830734282
"OTUD7B",0.999998726231969
"XXYLT1",0.999997840158496
"TCERG1",0.999997321389199
"SQLE",0.999997084484841
"COL1A1",0.999996899449562
"HRH3",0.999996775941167
"DCX",0.999996206949201
"GJB6",0.999996031818811
"TNKS2",0.999995983456086
"ST8SIA2",0.999995481604438
"GPR153",0.999995196553042
"SECISBP2L",0.999994179854489
"CBX5",0.999993879185605
"C16orf87",0.99999325228052
"CHST8",0.999993018568379
"AGPAT4",0.999992495237915
"FBXW4",0.99999160504954
"MAP3K5",0.99998873611115
"SRP68",0.999988614945235
"RUNX1T1",0.999984892993421
"COL5A2",0.999984681281456
"RBFOX2",0.99998424359802
"CORO2B",0.99997877966666
"ST6GAL2",0.999977668556495
"TMSB15A",0.999977377015202
"CASK",0.999977048159823
"GPR85",0.999972819215415
"MAP4K5",0.999971629225471
"PANX1",0.999969376390049
"TRH",0.999968813181153
"CELF4",0.9999683289196
"CORO1A",0.999965437694829
"NOL4",0.999964611845233
"KIAA1522",0.999964298800249
"GDAP1L1",0.999963839869171
"RRBP1",0.999962438621866
"NUP133",0.999960525939564
"RASSF4",0.999957915740199
"IGSF21",0.999953171265842
"BAG5",0.999953169497853
"MPV17L2",0.999952696164051
"C16orf92",0.999951881348264
"AKR1B1",0.999946384421295
"TIAM2",0.999945372943685
"MEGF11",0.999942521144395
"TTC27",0.999941828316739
"ACPL2",0.999937676251099
"CABLES2",0.999936970180161
"ALS2",0.999936791839912
"RBBP6",0.999936356282933
"KDM1A",0.999935061845067
"RBM3",0.999932252834003
"PTPRO",0.999930723929354
"SMOX",0.999930258019725
"FNBP1L",0.999927970528839
"ROM1",0.99992739667421
"CTPS1",0.99992619028545
"PTGES3L-AARSD1",0.999925339175552
"COMTD1",0.999924328710484
"EPRS",0.999919651210407
"TOP2B",0.999918188648232
"TUBB",0.999914852441701
"ACTB",0.999910730157684
"TUBA1C",0.999908338184604
"SMAD3",0.99990720594727
"DCTN5",0.999906777373639
"ZNF605",0.999905999560374
"RAD50",0.99990585394892
"LIN7C",0.99990304841901
"ZWILCH",0.99990154183561
"ERC2",0.99989980985037
"PRPF4",0.999894836863315
"TIGD7",0.999894822776496
"SEMA3G",0.999894801090559
"PKIA",0.999894395477958
"FAM174B",0.999893593021782
"REV3L",0.999892578919457
"TNKS",0.999890812374505
"ZNF232",0.999889201844155
"ZNF106",0.999888057597128
"KLHL35",0.999887369186826
"KCTD7",0.999886356981274
"DRAXIN",0.999880743481426
"ECH1",0.999876571906464
"AMOTL1",0.999869473310553
"ABI2",0.999867318890861
"STX1A",0.999866218236343
"AHSP",0.999857511708624
"LPAR2",0.999842012038916
"NPAS2",0.999839335293415
"KLF6",0.999833029156549
"STYK1",0.999831302155548
"TRIM24",0.999830901825938
"PDXP",0.99982815179549
"NANOS1",0.999827147262456
"NCS1",0.999826948275566
"HAPLN4",0.999824299084765
"PPP2R2D",0.999823260257652
"ALDH1B1",0.999819936094529
"GABRA3",0.999818560617653
"C6orf136",0.999817507138284
"ASPDH",0.999808069016072
"NNAT",0.999807202240404
"NOLC1",0.99980005480195
"JAK1",0.999794587000058
"RASD2",0.999785408726336
"WHSC1L1",0.999783303630523
"PCDH17",0.999781377680676
"DDX49",0.999770375220348
"TATDN2",0.999768873652543
"ZNF33B",0.999760775382167
"BCAN",0.99975824396197
"COL4A2",0.999753619417123
"PHKG2",0.999753199770402
"KIAA2026",0.999749771302897
"ADNP",0.999749661514311
"MGAT4B",0.99974716013942
"STOX1",0.99974374794133
"DPYSL3",0.999742512268364
"TANGO2",0.999734669666172
"GRHPR",0.999733874504343
"SNCAIP",0.999732601592097
"PRSS12",0.999729776772727
"EIF4A1",0.999726819791548
"PTDSS1",0.999721243235463
"SEPT3",0.999720505710529
"PNMT",0.999718697708303
"METTL7A",0.999718536047545
"NUP93",0.999717524404545
"AKAP7",0.999708970094969
"YBX1",0.99970128383263
"CPSF6",0.999699026470634
"LYPD1",0.999698700919897
"DCAF7",0.999695195310422
"ZCCHC12",0.999674140192952
"MID1IP1",0.999672113536463
"FIP1L1",0.999663132120017
"ARL10",0.99966279218817
"NKIRAS2",0.999659196519611
"ACSS2",0.999657743203518
"NFKBIA",0.999657386242404
"ITPA",0.999656422528759
"CLVS2",0.9996518329464
"ZNF521",0.999650382038406
"ZNF253",0.999647604972122
"PDZRN4",0.999645402438558
"RRAD",0.999632632149961
"IQCE",0.999629522099203
"NEURL1B",0.9996283919872
"C1QL4",0.999624255160256
"TUBB3",0.999622385100888
"KPNA1",0.999616089768106
"FTSJ2",0.99961384630102
"DYRK2",0.999607987938011
"ZNF354C",0.999606684690906
"CABYR",0.999602725507235
"BZW1",0.999592510228075
"PPP1R14C",0.999583724605936
"GRB10",0.999583076629547
"WDR54",0.999579044813435
"TTC37",0.999564087469454
"GALT",0.999562008673314
"COX8A",0.999561476720951
"PRR4",0.999559701143178
"DDX6",0.999555451847695
"MAP3K11",0.999553903861687
"COL1A2",0.999550210050268
"CCDC28B",0.999543585380199
"UPRT",0.999532960608225
"REV1",0.999522442081989
"PCM1",0.999514593685264
"COPE",0.999513660812207
"RHOV",0.999506203430382
"RRAGB",0.999498929779329
"HSDL1",0.999490491505596
"DOK6",0.999489279251757
"PISD",0.999486386658246
"DLL3",0.999485693577507
"NPM3",0.999476069013787
"ZNRF1",0.999474663256417
"HSPB2-C11orf52",0.999454613011186
"RSPRY1",0.999451481642503
"TWSG1",0.999440898843287
"SMARCA1",0.999437663137687
"METRNL",0.999437636333746
"PNMA1",0.999401647631594
"MEX3A",0.999400988848623
"ATXN7L3B",0.999391177557006
"TARS",0.99937867130478
"ULK2",0.999372409162875
"GLRA2",0.999364438068802
"JOSD1",0.999361632267538
"ACVR2A",0.999361162760607
"TMOD2",0.999357964271445
"PTPRG",0.999354421132981
"XPNPEP1",0.999354079858667
"DAAM2",0.999348310054375
"LMNB1",0.999346066808462
"HADHB",0.999345027907067
"APLNR",0.999342973217234
"MTHFD1L",0.99933347991382
"PAFAH1B3",0.999330476831213
"AGAP1",0.99930872943151
"MARCH4",0.99929136875874
"SENP2",0.999288176166922
"CADM1",0.999275009903182
"ZNF776",0.999273928419679
"UHRF1BP1",0.999269391339516
"NANOS3",0.999265281817061
"TRIB2",0.999255988214665
"ABHD12",0.999255526371297
"HOMER1",0.999253208134316
