"","Striatum - R2"
"STRIP1",0.958918588401288
"CTTNBP2NL",0.920992517448039
"ZNF697",0.915821504507707
"CGGBP1",0.898437062715208
"FAM110B",0.891711751845877
"DCLRE1B",0.889320048480094
"RGS20",0.864125899858243
"IGSF3",0.859586164538935
"NRAS",0.846877876639258
"SORT1",0.842755286973793
"PTGFRN",0.841794076453139
"DOCK4",0.840698548896119
"UBXN2B",0.823131702798222
"ROBO2",0.821487472986506
"RSBN1",0.821223568935926
"CCDC71L",0.79889864069808
"ROBO1",0.795033237765435
"SDCBP",0.791298390680185
"BCAP29",0.766785537315604
"ZNF654",0.760806935814469
"TSPAN12",0.759250369501652
"STXBP3",0.759025302059682
"WDR3",0.75338399285942
"LINC00998",0.748206727188072
"WDR47",0.728523144908602
"TGS1",0.71970009728177
"SLC25A24",0.718184725501548
"SLC22A15",0.717836962557735
"GSTM4",0.712195203874909
"GNAI3",0.707224129859663
"DDX20",0.699466671709103
"ST18",0.697357126192856
"SYT6",0.675967646776261
"SNAI2",0.667285654428133
"HENMT1",0.659403119827299
"FOXP2",0.658925696167331
"AMPD2",0.653873925046085
"XKR4",0.645419745705907
"ASPH",0.633963781903323
"RB1CC1",0.625638949346225
"GGH",0.618851014231017
"PRKAR2B",0.610933345238321
"CHCHD7",0.610424744946193
"CSDE1",0.594750607050325
"ST7",0.582087680508849
"TSPAN2",0.577116613029101
"WDR77",0.571484281745877
"IMPAD1",0.56982764871645
"GSTM5",0.568457887285984
"MOV10",0.550341595388358
"SIKE1",0.539339015306905
"YTHDF3",0.536510688914028
"EPHA3",0.533899104947729
"TOX",0.509050346503299
"MDFIC",0.504773749350572
