"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","stage","adolescence","adult",0,-0.00555444040167385,-0.0670131894036969,0.0559043086003492,1,"ns"
"2","stage","adolescence","birth_inf",0,0.0638453738300853,-0.000241191754112441,0.127931939414283,0.0517,"ns"
"3","stage","adolescence","child",0,-0.00297935482537559,-0.0676765804314478,0.0617178707806966,1,"ns"
"4","stage","adolescence","fetal1",0,0.192319038266286,0.129926041260238,0.254712035272335,7.92e-14,"****"
"5","stage","adolescence","fetal2",0,0.135799280021534,0.0656193367182464,0.205979223324821,1.26e-07,"****"
"6","stage","adolescence","fetal3",0,0.12937463483417,0.0606207473107601,0.19812852235758,3.28e-07,"****"
"7","stage","adolescence","inf_child",0,0.0507773303698427,-0.0142311996238608,0.115785860363546,0.258,"ns"
"8","stage","adult","birth_inf",0,0.0693998142317591,0.0123281455865744,0.126471482876944,0.0056,"**"
"9","stage","adult","child",0,0.00257508557629826,-0.0551814592882545,0.060331630440851,1,"ns"
"10","stage","adult","fetal1",0,0.19787347866796,0.142710324760983,0.253036632574938,7.65e-14,"****"
"11","stage","adult","fetal2",0,0.141353720423208,0.0775155506842441,0.205191890162172,5.41e-10,"****"
"12","stage","adult","fetal3",0,0.134929075235844,0.0726620332059723,0.197196117265715,1.43e-09,"****"
"13","stage","adult","inf_child",0,0.0563317707715165,-0.0017732758725602,0.114436817415593,0.0652,"ns"
"14","stage","birth_inf","child",0,-0.0668247286554609,-0.127369988867761,-0.00627946844316105,0.0187,"*"
"15","stage","birth_inf","fetal1",0,0.128473664436201,0.0703971320978384,0.186550196774564,5.65e-10,"****"
"16","stage","birth_inf","fetal2",0,0.0719539061914487,0.00558205993789974,0.138325752444998,0.0227,"*"
"17","stage","birth_inf","fetal3",0,0.0655292610040847,0.000667141221936188,0.130391380786233,0.0456,"*"
"18","stage","birth_inf","inf_child",0,-0.0130680434602426,-0.0739458432315412,0.0478097563110561,0.998,"ns"
"19","stage","child","fetal1",0,0.195298393091662,0.136548697592926,0.254048088590398,8.82e-14,"****"
"20","stage","child","fetal2",0,0.13877863484691,0.0718169660516199,0.205740303642199,9.38e-09,"****"
"21","stage","child","fetal3",0,0.132353989659546,0.0668884437947235,0.197819535524368,2.49e-08,"****"
"22","stage","child","inf_child",0,0.0537566851952183,-0.00776363354371273,0.115277003934149,0.139,"ns"
"23","stage","fetal1","fetal2",0,-0.0565197582447525,-0.12125784720422,0.00821833071471464,0.14,"ns"
"24","stage","fetal1","fetal3",0,-0.0629444034321165,-0.126133744065272,0.000244937201038797,0.0517,"ns"
"25","stage","fetal1","inf_child",0,-0.141541707896444,-0.200634048280063,-0.0824493675128249,1.09e-11,"****"
"26","stage","fetal2","fetal3",0,-0.00642464518736396,-0.0773135098722266,0.0644642194974987,1,"ns"
"27","stage","fetal2","inf_child",0,-0.0850219496516913,-0.152284443351147,-0.0177594559522357,0.00321,"**"
"28","stage","fetal3","inf_child",0,-0.0785973044643273,-0.144370518360247,-0.012824090568408,0.00709,"**"
"29","datasource","Not under ps","Under ps",0,-0.131812572429646,-0.174314602858288,-0.0893105420010044,1.21e-09,"****"
"30","stage:datasource","adolescence:Not under ps","adult:Not under ps",0,-0.00930012264197133,-0.0809034163192462,0.0623031710353035,1,"ns"
"31","stage:datasource","adolescence:Not under ps","birth_inf:Not under ps",0,0.0589649188547074,-0.0156751606270304,0.133604998336445,0.326,"ns"
"32","stage:datasource","adolescence:Not under ps","child:Not under ps",0,-0.0122790853228016,-0.0876267838531023,0.0630686132074991,1,"ns"
"33","stage:datasource","adolescence:Not under ps","fetal1:Not under ps",0,0.177985716928189,0.105224899515494,0.250746534340884,1.7e-13,"****"
"34","stage:datasource","adolescence:Not under ps","fetal2:Not under ps",0,0.130577747252605,0.0487614956304337,0.212393998874777,5.38e-06,"****"
"35","stage:datasource","adolescence:Not under ps","fetal3:Not under ps",0,0.127797158933505,0.0476170824894614,0.207977235377548,5.6e-06,"****"
"36","stage:datasource","adolescence:Not under ps","inf_child:Not under ps",0,0.0457464706021313,-0.0299450343447506,0.121437975549013,0.784,"ns"
"37","stage:datasource","adolescence:Not under ps","adolescence:Under ps",0,-0.233605396640638,-0.464961753981223,-0.00224903930005396,0.0449,"*"
"38","stage:datasource","adolescence:Not under ps","adult:Under ps",0,-0.179193188067471,-0.366384085365763,0.00799770923082033,0.0784,"ns"
"39","stage:datasource","adolescence:Not under ps","birth_inf:Under ps",0,-0.0953304571560962,-0.303193010171598,0.112532095859406,0.973,"ns"
