"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","10_dorsal motor nucleus of the vagus, Left","datasource",1,922,53.537,5.51e-13,"*",0.055,2.28114e-10
"2","10_dorsal motor nucleus of the vagus, Right","datasource",1,922,52.512,9.04e-13,"*",0.054,3.74256e-10
"3","12_hypoglossal nucleus, Left","datasource",1,922,67.783,6.2e-16,"*",0.068,2.5668e-13
"4","12_hypoglossal nucleus, Right","datasource",1,922,38.08,1.02e-09,"*",0.04,4.2228e-07
"5","3_Oculomotor Nuclear Complex, Left","datasource",1,922,36.345,2.39e-09,"*",0.038,9.8946e-07
"6","3_Oculomotor Nuclear Complex, Right","datasource",1,922,21.851,3.39e-06,"*",0.023,0.00140346
"7","4_trochlear nucleus, Left","datasource",1,922,15.068,0.000111,"*",0.016,0.045954
"8","4_trochlear nucleus, Right","datasource",1,922,24.675,8.09e-07,"*",0.026,0.000334926
"9","6_abducens nucleus, Left","datasource",1,922,59.424,3.28e-14,"*",0.061,1.35792e-11
"10","6_abducens nucleus, Right","datasource",1,922,33.318,1.07e-08,"*",0.035,4.4298e-06
"11","7_facial motor nucleus, Left","datasource",1,922,58.582,4.91e-14,"*",0.06,2.03274e-11
"12","7_facial motor nucleus, Right","datasource",1,922,30.441,4.47e-08,"*",0.032,1.85058e-05
"13","8Co_cochlear nuclei, Left","datasource",1,922,52.425,9.42e-13,"*",0.054,3.89988e-10
"14","8Co_cochlear nuclei, Right","datasource",1,922,29.808,6.13e-08,"*",0.031,2.53782e-05
"15","8Ve_vestibular nuclei, Left","datasource",1,922,40.764,2.72e-10,"*",0.042,1.12608e-07
"16","8Ve_vestibular nuclei, Right","datasource",1,922,29.618,6.75e-08,"*",0.031,2.7945e-05
"17","Acb_Nucleus Accumbens, Left","datasource",1,922,60.266,2.2e-14,"*",0.061,9.108e-12
"18","Acb_Nucleus Accumbens, Right","datasource",1,922,73.617,3.98e-17,"*",0.074,1.64772e-14
"19","AHA_Anterior Hypothalamic Area, Left","datasource",1,922,111.088,1.33e-24,"*",0.108,5.5062e-22
"20","AHA_Anterior Hypothalamic Area, Right","datasource",1,922,66.68,1.04e-15,"*",0.067,4.3056e-13
"21","AnG-i_angular gyrus, Left, inferior bank of gyrus","datasource",1,922,86.128,1.17e-19,"*",0.085,4.8438e-17
"22","AnG-i_angular gyrus, Right, inferior bank of gyrus","datasource",1,922,85.484,1.58e-19,"*",0.085,6.5412e-17
"23","AnG-s_angular gyrus, Left, superior bank of gyrus","datasource",1,922,88.556,3.82e-20,"*",0.088,1.58148e-17
