"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","10_dorsal motor nucleus of the vagus, Left","datasource",1,1137,1829.79,4.82e-239,"*",0.617,1.99548e-236
"2","10_dorsal motor nucleus of the vagus, Right","datasource",1,1137,2034.51,1.59e-255,"*",0.641,6.5826e-253
"3","12_hypoglossal nucleus, Left","datasource",1,1137,1919.935,1.95e-246,"*",0.628,8.073e-244
"4","12_hypoglossal nucleus, Right","datasource",1,1137,2387.402,1.38e-281,"*",0.677,5.7132e-279
"5","3_Oculomotor Nuclear Complex, Left","datasource",1,1137,1748.529,3.5e-232,"*",0.606,1.449e-229
"6","3_Oculomotor Nuclear Complex, Right","datasource",1,1137,2844.243,1.09000000000016e-311,"*",0.714,4.51260000000064e-309
"7","4_trochlear nucleus, Left","datasource",1,1137,2015.852,4.55e-254,"*",0.639,1.8837e-251
"8","4_trochlear nucleus, Right","datasource",1,1137,2073.972,1.4e-258,"*",0.646,5.796e-256
"9","6_abducens nucleus, Left","datasource",1,1137,1557.69,2.81e-215,"*",0.578,1.16334e-212
"10","6_abducens nucleus, Right","datasource",1,1137,1693.483,2.01e-227,"*",0.598,8.3214e-225
"11","7_facial motor nucleus, Left","datasource",1,1137,1732.54,8.26e-231,"*",0.604,3.41964e-228
"12","7_facial motor nucleus, Right","datasource",1,1137,2165.099,1.71e-265,"*",0.656,7.0794e-263
"13","8Co_cochlear nuclei, Left","datasource",1,1137,1679.528,3.34e-226,"*",0.596,1.38276e-223
"14","8Co_cochlear nuclei, Right","datasource",1,1137,1649.202,1.58e-223,"*",0.592,6.5412e-221
"15","8Ve_vestibular nuclei, Left","datasource",1,1137,1916.027,4.03e-246,"*",0.628,1.66842e-243
"16","8Ve_vestibular nuclei, Right","datasource",1,1137,2134.335,3.51e-263,"*",0.652,1.45314e-260
"17","Acb_Nucleus Accumbens, Left","datasource",1,1137,1611.02,4.04e-220,"*",0.586,1.67256e-217
"18","Acb_Nucleus Accumbens, Right","datasource",1,1137,1630.315,7.55e-222,"*",0.589,3.1257e-219
"19","AHA_Anterior Hypothalamic Area, Left","datasource",1,1137,1837.934,1.01e-239,"*",0.618,4.1814e-237
"20","AHA_Anterior Hypothalamic Area, Right","datasource",1,1137,1765.563,1.23e-233,"*",0.608,5.0922e-231
"21","AnG-i_angular gyrus, Left, inferior bank of gyrus","datasource",1,1137,1620.072,6.23e-221,"*",0.588,2.57922e-218
"22","AnG-i_angular gyrus, Right, inferior bank of gyrus","datasource",1,1137,1765.604,1.22e-233,"*",0.608,5.0508e-231
"23","AnG-s_angular gyrus, Left, superior bank of gyrus","datasource",1,1137,1621.58,4.56e-221,"*",0.588,1.88784e-218
"24","AnG-s_angular gyrus, Right, superior bank of gyrus","datasource",1,1137,1828.15,6.61e-239,"*",0.617,2.73654e-236
"25","AOrG_anterior orbital gyrus, Left","datasource",1,1137,1476.772,9.57e-208,"*",0.565,3.96198e-205
"26","AOrG_anterior orbital gyrus, Right","datasource",1,1137,1761.375,2.8e-233,"*",0.608,1.1592e-230
"27","Arc_arcuate nucleus of medulla, Left","datasource",1,1137,1853.226,5.49e-241,"*",0.62,2.27286e-238
