"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","10_dorsal motor nucleus of the vagus, Left","datasource",1,9,17.479,0.002,"*",0.66,0.828
"2","10_dorsal motor nucleus of the vagus, Right","datasource",1,9,12.711,0.006,"*",0.585,1
"3","12_hypoglossal nucleus, Left","datasource",1,9,3.136,0.11,"",0.258,1
"4","12_hypoglossal nucleus, Right","datasource",1,9,127.977,1.27e-06,"*",0.934,0.00052578
"5","3_Oculomotor Nuclear Complex, Left","datasource",1,9,47.046,7.4e-05,"*",0.839,0.030636
"6","3_Oculomotor Nuclear Complex, Right","datasource",1,9,49.231,6.21e-05,"*",0.845,0.0257094
"7","4_trochlear nucleus, Left","datasource",1,9,119.217,1.71e-06,"*",0.93,0.00070794
"8","4_trochlear nucleus, Right","datasource",1,9,74.515,1.2e-05,"*",0.892,0.004968
"9","6_abducens nucleus, Left","datasource",1,9,25.174,0.000722,"*",0.737,0.298908
"10","6_abducens nucleus, Right","datasource",1,9,36.831,0.000186,"*",0.804,0.077004
"11","7_facial motor nucleus, Left","datasource",1,9,17.234,0.002,"*",0.657,0.828
"12","7_facial motor nucleus, Right","datasource",1,9,28.771,0.000454,"*",0.762,0.187956
"13","8Co_cochlear nuclei, Left","datasource",1,9,33.014,0.000278,"*",0.786,0.115092
"14","8Co_cochlear nuclei, Right","datasource",1,9,6.646,0.03,"*",0.425,1
"15","8Ve_vestibular nuclei, Left","datasource",1,9,5.773,0.04,"*",0.391,1
"16","8Ve_vestibular nuclei, Right","datasource",1,9,26.579,0.000599,"*",0.747,0.247986
"17","Acb_Nucleus Accumbens, Left","datasource",1,9,6.701,0.029,"*",0.427,1
"18","Acb_Nucleus Accumbens, Right","datasource",1,9,9.81e-05,0.992,"",1.09e-05,1
"19","AHA_Anterior Hypothalamic Area, Left","datasource",1,9,7.809,0.021,"*",0.465,1
"20","AHA_Anterior Hypothalamic Area, Right","datasource",1,9,8.668,0.016,"*",0.491,1
"21","AnG-i_angular gyrus, Left, inferior bank of gyrus","datasource",1,9,5.31,0.047,"*",0.371,1
"22","AnG-i_angular gyrus, Right, inferior bank of gyrus","datasource",1,9,2.767,0.131,"",0.235,1
"23","AnG-s_angular gyrus, Left, superior bank of gyrus","datasource",1,9,0.322,0.584,"",0.035,1
"24","AnG-s_angular gyrus, Right, superior bank of gyrus","datasource",1,9,15.802,0.003,"*",0.637,1
"25","AOrG_anterior orbital gyrus, Left","datasource",1,9,42.246,0.000111,"*",0.824,0.045954
"26","AOrG_anterior orbital gyrus, Right","datasource",1,9,0.784,0.399,"",0.08,1
"27","Arc_arcuate nucleus of medulla, Left","datasource",1,9,85.225,6.93e-06,"*",0.904,0.00286902
"28","Arc_arcuate nucleus of medulla, Right","datasource",1,9,14.791,0.004,"*",0.622,1
"29","ARH_Arcuate Nucleus of the Hypothalamus, Left","datasource",1,9,114.523,2.03e-06,"*",0.927,0.00084042
"30","ARH_Arcuate Nucleus of the Hypothalamus, Right","datasource",1,9,1.048,0.333,"",0.104,1
"31","ATZ_Amygdaloid Transition zone, Left","datasource",1,9,0.123,0.734,"",0.013,1
"32","ATZ_Amygdaloid Transition zone, Right","datasource",1,9,6.312,0.033,"*",0.412,1
"33","BCd_Body of Caudate Nucleus, Left","datasource",1,9,1.207,0.3,"",0.118,1
"34","BCd_Body of Caudate Nucleus, Right","datasource",1,9,2.06,0.185,"",0.186,1
"35","BLA_Basolateral Nucleus, Left","datasource",1,9,2.27,0.166,"",0.201,1
"36","BLA_Basolateral Nucleus, Right","datasource",1,9,8.662,0.016,"*",0.49,1
"37","BMA_Basomedial nucleus, Left","datasource",1,9,0.286,0.606,"",0.031,1
"38","BMA_Basomedial nucleus, Right","datasource",1,9,2.153,0.176,"",0.193,1
"39","BST_Nucleus of Stria Terminalis, Left","datasource",1,9,34.686,0.000232,"*",0.794,0.096048
"40","CA1_CA1 field, Left","datasource",1,9,0.156,0.702,"",0.017,1
"41","CA1_CA1 field, Right","datasource",1,9,22.044,0.001,"*",0.71,0.414
"42","CA2_CA2 field, Left","datasource",1,9,0.005,0.947,"",0.000519,1
"43","CA2_CA2 field, Right","datasource",1,9,19.906,0.002,"*",0.689,0.828
"44","CA3_CA3 field, Left","datasource",1,9,10.661,0.01,"*",0.542,1
"45","CA3_CA3 field, Right","datasource",1,9,3.058,0.114,"",0.254,1
"46","CA4_CA4 field, Left","datasource",1,9,24.31,0.000813,"*",0.73,0.336582
"47","CA4_CA4 field, Right","datasource",1,9,60.462,2.78e-05,"*",0.87,0.0115092
"48","cc_corpus callosum","datasource",1,9,200.372,1.86e-07,"*",0.957,7.7004e-05
"49","CeA_Central Nucleus, Left","datasource",1,9,30.285,0.000379,"*",0.771,0.156906
"50","CeA_Central Nucleus, Right","datasource",1,9,23.737,0.000881,"*",0.725,0.364734
"51","cgb_cingulum bundle, Left","datasource",1,9,273.208,4.84e-08,"*",0.968,2.00376e-05
"52","cgb_cingulum bundle, Right","datasource",1,9,144.745,7.53e-07,"*",0.941,0.000311742
"53","CgGf-i_Cingulate gyrus, frontal part, Left, inferior bank of gyrus","datasource",1,9,31.282,0.000337,"*",0.777,0.139518
"54","CgGf-i_Cingulate gyrus, frontal part, Right, inferior bank of gyrus","datasource",1,9,15.517,0.003,"*",0.633,1
"55","CgGf-s_Cingulate gyrus, frontal part, Left, superior bank of gyrus","datasource",1,9,7.493,0.023,"*",0.454,1
"56","CgGf-s_Cingulate gyrus, frontal part, Right, superior bank of gyrus","datasource",1,9,5.048,0.051,"",0.359,1
