"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","10_dorsal motor nucleus of the vagus, Left","datasource",1,9,140.337,8.59e-07,"*",0.94,0.000355626
"2","10_dorsal motor nucleus of the vagus, Right","datasource",1,9,1.851,0.207,"",0.171,1
"3","12_hypoglossal nucleus, Left","datasource",1,9,592.03,1.6e-09,"*",0.985,6.624e-07
"4","12_hypoglossal nucleus, Right","datasource",1,9,13.58,0.005,"*",0.601,1
"5","3_Oculomotor Nuclear Complex, Left","datasource",1,9,361.144,1.42e-08,"*",0.976,5.8788e-06
"6","3_Oculomotor Nuclear Complex, Right","datasource",1,9,108.611,2.53e-06,"*",0.923,0.00104742
"7","4_trochlear nucleus, Left","datasource",1,9,81.617,8.28e-06,"*",0.901,0.00342792
"8","4_trochlear nucleus, Right","datasource",1,9,8.397,0.018,"*",0.483,1
"9","6_abducens nucleus, Left","datasource",1,9,146.518,7.15e-07,"*",0.942,0.00029601
"10","6_abducens nucleus, Right","datasource",1,9,13.507,0.005,"*",0.6,1
"11","7_facial motor nucleus, Left","datasource",1,9,174.863,3.35e-07,"*",0.951,0.00013869
"12","7_facial motor nucleus, Right","datasource",1,9,107.328,2.66e-06,"*",0.923,0.00110124
"13","8Co_cochlear nuclei, Left","datasource",1,9,82.525,7.91e-06,"*",0.902,0.00327474
"14","8Co_cochlear nuclei, Right","datasource",1,9,0.86,0.378,"",0.087,1
"15","8Ve_vestibular nuclei, Left","datasource",1,9,93.196,4.79e-06,"*",0.912,0.00198306
"16","8Ve_vestibular nuclei, Right","datasource",1,9,125.502,1.38e-06,"*",0.933,0.00057132
"17","Acb_Nucleus Accumbens, Left","datasource",1,9,87.231,6.3e-06,"*",0.906,0.0026082
"18","Acb_Nucleus Accumbens, Right","datasource",1,9,253.697,6.69e-08,"*",0.966,2.76966e-05
"19","AHA_Anterior Hypothalamic Area, Left","datasource",1,9,650.467,1.05e-09,"*",0.986,4.347e-07
"20","AHA_Anterior Hypothalamic Area, Right","datasource",1,9,185.565,2.6e-07,"*",0.954,0.00010764
"21","AnG-i_angular gyrus, Left, inferior bank of gyrus","datasource",1,9,18.382,0.002,"*",0.671,0.828
"22","AnG-i_angular gyrus, Right, inferior bank of gyrus","datasource",1,9,110.148,2.39e-06,"*",0.924,0.00098946
"23","AnG-s_angular gyrus, Left, superior bank of gyrus","datasource",1,9,37.646,0.000172,"*",0.807,0.071208
