"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","10_dorsal motor nucleus of the vagus, Left","datasource",1,939,419.155,2.61e-77,"*",0.309,1.08054e-74
"2","10_dorsal motor nucleus of the vagus, Right","datasource",1,939,499.638,4.49e-89,"*",0.347,1.85886e-86
"3","12_hypoglossal nucleus, Left","datasource",1,939,439.683,2.24e-80,"*",0.319,9.2736e-78
"4","12_hypoglossal nucleus, Right","datasource",1,939,579.655,3.94e-100,"*",0.382,1.63116e-97
"5","3_Oculomotor Nuclear Complex, Left","datasource",1,939,396.012,8.5e-74,"*",0.297,3.519e-71
"6","3_Oculomotor Nuclear Complex, Right","datasource",1,939,906.806,5.77e-140,"*",0.491,2.38878e-137
"7","4_trochlear nucleus, Left","datasource",1,939,626.174,2.71e-106,"*",0.4,1.12194e-103
"8","4_trochlear nucleus, Right","datasource",1,939,646.306,6.65e-109,"*",0.408,2.7531e-106
"9","6_abducens nucleus, Left","datasource",1,939,351.929,6.23e-67,"*",0.273,2.57922e-64
"10","6_abducens nucleus, Right","datasource",1,939,466.626,2.49e-84,"*",0.332,1.03086e-81
"11","7_facial motor nucleus, Left","datasource",1,939,401.433,1.26e-74,"*",0.299,5.2164e-72
"12","7_facial motor nucleus, Right","datasource",1,939,564.707,4.13e-98,"*",0.376,1.70982e-95
"13","8Co_cochlear nuclei, Left","datasource",1,939,412.585,2.56e-76,"*",0.305,1.05984e-73
"14","8Co_cochlear nuclei, Right","datasource",1,939,492.18,5.18e-88,"*",0.344,2.14452e-85
"15","8Ve_vestibular nuclei, Left","datasource",1,939,449.071,9.2e-82,"*",0.324,3.8088e-79
"16","8Ve_vestibular nuclei, Right","datasource",1,939,542.549,4.45e-95,"*",0.366,1.8423e-92
"17","Acb_Nucleus Accumbens, Left","datasource",1,939,438.092,3.86e-80,"*",0.318,1.59804e-77
"18","Acb_Nucleus Accumbens, Right","datasource",1,939,426.566,2.02e-78,"*",0.312,8.3628e-76
"19","AHA_Anterior Hypothalamic Area, Left","datasource",1,939,502.288,1.89e-89,"*",0.348,7.8246e-87
"20","AHA_Anterior Hypothalamic Area, Right","datasource",1,939,442.515,8.54e-81,"*",0.32,3.53556e-78
"21","AnG-i_angular gyrus, Left, inferior bank of gyrus","datasource",1,939,325.959,8.92e-63,"*",0.258,3.69288e-60
"22","AnG-i_angular gyrus, Right, inferior bank of gyrus","datasource",1,939,376.722,8.03e-71,"*",0.286,3.32442e-68
"23","AnG-s_angular gyrus, Left, superior bank of gyrus","datasource",1,939,318.153,1.65e-61,"*",0.253,6.831e-59
"24","AnG-s_angular gyrus, Right, superior bank of gyrus","datasource",1,939,360.08,3.22e-68,"*",0.277,1.33308e-65
"25","AOrG_anterior orbital gyrus, Left","datasource",1,939,270.669,1.24e-53,"*",0.224,5.1336e-51
"26","AOrG_anterior orbital gyrus, Right","datasource",1,939,402.899,7.54e-75,"*",0.3,3.12156e-72
"27","Arc_arcuate nucleus of medulla, Left","datasource",1,939,411.547,3.67e-76,"*",0.305,1.51938e-73
"28","Arc_arcuate nucleus of medulla, Right","datasource",1,939,465.237,3.96e-84,"*",0.331,1.63944e-81
"29","ARH_Arcuate Nucleus of the Hypothalamus, Left","datasource",1,939,281.188,2.1e-55,"*",0.23,8.694e-53
"30","ARH_Arcuate Nucleus of the Hypothalamus, Right","datasource",1,939,687.522,3.82e-114,"*",0.423,1.58148e-111
"31","ATZ_Amygdaloid Transition zone, Left","datasource",1,939,410.747,4.85e-76,"*",0.304,2.0079e-73
"32","ATZ_Amygdaloid Transition zone, Right","datasource",1,939,406.102,2.46e-75,"*",0.302,1.01844e-72
"33","BCd_Body of Caudate Nucleus, Left","datasource",1,939,359.591,3.84e-68,"*",0.277,1.58976e-65
"34","BCd_Body of Caudate Nucleus, Right","datasource",1,939,427.045,1.71e-78,"*",0.313,7.0794e-76
"35","BLA_Basolateral Nucleus, Left","datasource",1,939,420.913,1.42e-77,"*",0.31,5.8788e-75
"36","BLA_Basolateral Nucleus, Right","datasource",1,939,355.51,1.69e-67,"*",0.275,6.9966e-65
"37","BMA_Basomedial nucleus, Left","datasource",1,939,398.344,3.74e-74,"*",0.298,1.54836e-71
"38","BMA_Basomedial nucleus, Right","datasource",1,939,395.601,9.83e-74,"*",0.296,4.06962e-71
"39","BST_Nucleus of Stria Terminalis, Left","datasource",1,939,338,1.03e-64,"*",0.265,4.2642e-62
"40","CA1_CA1 field, Left","datasource",1,939,221.642,3.66e-45,"*",0.191,1.51524e-42
"41","CA1_CA1 field, Right","datasource",1,939,326.882,6.33e-63,"*",0.258,2.62062e-60
"42","CA2_CA2 field, Left","datasource",1,939,221.384,4.07e-45,"*",0.191,1.68498e-42
"43","CA2_CA2 field, Right","datasource",1,939,342.26,2.15e-65,"*",0.267,8.901e-63
"44","CA3_CA3 field, Left","datasource",1,939,262.023,3.64e-52,"*",0.218,1.50696e-49
