"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","10_dorsal motor nucleus of the vagus, Left","datasource",1,1082,1796.051,4.28e-232,"*",0.624,1.77192e-229
"2","10_dorsal motor nucleus of the vagus, Right","datasource",1,1082,1990.835,1.73e-247,"*",0.648,7.1622e-245
"3","12_hypoglossal nucleus, Left","datasource",1,1082,1867.06,7.98e-238,"*",0.633,3.30372e-235
"4","12_hypoglossal nucleus, Right","datasource",1,1082,2331.489,3.34e-272,"*",0.683,1.38276e-269
"5","3_Oculomotor Nuclear Complex, Left","datasource",1,1082,1713.53,2.96e-225,"*",0.613,1.22544e-222
"6","3_Oculomotor Nuclear Complex, Right","datasource",1,1082,2752.797,1.48e-299,"*",0.718,6.1272e-297
"7","4_trochlear nucleus, Left","datasource",1,1082,1944.708,6.2e-244,"*",0.643,2.5668e-241
"8","4_trochlear nucleus, Right","datasource",1,1082,2005.627,1.28e-248,"*",0.65,5.2992e-246
"9","6_abducens nucleus, Left","datasource",1,1082,1513.495,8.42e-208,"*",0.583,3.48588e-205
"10","6_abducens nucleus, Right","datasource",1,1082,1643.732,2.6e-219,"*",0.603,1.0764e-216
"11","7_facial motor nucleus, Left","datasource",1,1082,1685.515,6.89e-223,"*",0.609,2.85246e-220
"12","7_facial motor nucleus, Right","datasource",1,1082,2109.515,2.13e-256,"*",0.661,8.8182e-254
"13","8Co_cochlear nuclei, Left","datasource",1,1082,1632.85,2.27e-218,"*",0.601,9.3978e-216
"14","8Co_cochlear nuclei, Right","datasource",1,1082,1593.468,6.18e-215,"*",0.596,2.55852e-212
"15","8Ve_vestibular nuclei, Left","datasource",1,1082,1866.783,8.39e-238,"*",0.633,3.47346e-235
"16","8Ve_vestibular nuclei, Right","datasource",1,1082,2085.748,1.22e-254,"*",0.658,5.0508e-252
"17","Acb_Nucleus Accumbens, Left","datasource",1,1082,1560.836,4.74e-212,"*",0.591,1.96236e-209
"18","Acb_Nucleus Accumbens, Right","datasource",1,1082,1576.632,1.88e-213,"*",0.593,7.7832e-211
"19","AHA_Anterior Hypothalamic Area, Left","datasource",1,1082,1782.415,5.6e-231,"*",0.622,2.3184e-228
"20","AHA_Anterior Hypothalamic Area, Right","datasource",1,1082,1724.017,3.89e-226,"*",0.614,1.61046e-223
"21","AnG-i_angular gyrus, Left, inferior bank of gyrus","datasource",1,1082,1581.973,6.35e-214,"*",0.594,2.6289e-211
"22","AnG-i_angular gyrus, Right, inferior bank of gyrus","datasource",1,1082,1725.092,3.16e-226,"*",0.615,1.30824e-223
"23","AnG-s_angular gyrus, Left, superior bank of gyrus","datasource",1,1082,1581.752,6.64e-214,"*",0.594,2.74896e-211
"24","AnG-s_angular gyrus, Right, superior bank of gyrus","datasource",1,1082,1789.844,1.38e-231,"*",0.623,5.7132e-229
"25","AOrG_anterior orbital gyrus, Left","datasource",1,1082,1445.177,1.57e-201,"*",0.572,6.4998e-199
"26","AOrG_anterior orbital gyrus, Right","datasource",1,1082,1698.098,5.91e-224,"*",0.611,2.44674e-221
"27","Arc_arcuate nucleus of medulla, Left","datasource",1,1082,1810.499,2.85e-233,"*",0.626,1.1799e-230
"28","Arc_arcuate nucleus of medulla, Right","datasource",1,1082,1786.185,2.75e-231,"*",0.623,1.1385e-228
"29","ARH_Arcuate Nucleus of the Hypothalamus, Left","datasource",1,1082,1313.761,5.66e-189,"*",0.548,2.34324e-186
"30","ARH_Arcuate Nucleus of the Hypothalamus, Right","datasource",1,1082,1660.379,9.62e-221,"*",0.605,3.98268e-218
"31","ATZ_Amygdaloid Transition zone, Left","datasource",1,1082,1726.743,2.3e-226,"*",0.615,9.522e-224
"32","ATZ_Amygdaloid Transition zone, Right","datasource",1,1082,1700.913,3.42e-224,"*",0.611,1.41588e-221
"33","BCd_Body of Caudate Nucleus, Left","datasource",1,1082,1555.718,1.35e-211,"*",0.59,5.589e-209
"34","BCd_Body of Caudate Nucleus, Right","datasource",1,1082,1658.061,1.52e-220,"*",0.605,6.2928e-218
"35","BLA_Basolateral Nucleus, Left","datasource",1,1082,1788.246,1.86e-231,"*",0.623,7.7004e-229
"36","BLA_Basolateral Nucleus, Right","datasource",1,1082,1484.114,4e-205,"*",0.578,1.656e-202
"37","BMA_Basomedial nucleus, Left","datasource",1,1082,1783.123,4.9e-231,"*",0.622,2.0286e-228
"38","BMA_Basomedial nucleus, Right","datasource",1,1082,1645.557,1.81e-219,"*",0.603,7.4934e-217
"39","BST_Nucleus of Stria Terminalis, Left","datasource",1,1082,1549.566,4.79e-211,"*",0.589,1.98306e-208
"40","CA1_CA1 field, Left","datasource",1,1082,1417.283,6.4e-199,"*",0.567,2.6496e-196
"41","CA1_CA1 field, Right","datasource",1,1082,1852.205,1.23e-236,"*",0.631,5.0922e-234
"42","CA2_CA2 field, Left","datasource",1,1082,1284.16,4.74e-186,"*",0.543,1.96236e-183
"43","CA2_CA2 field, Right","datasource",1,1082,1567.294,1.26e-212,"*",0.592,5.2164e-210
"44","CA3_CA3 field, Left","datasource",1,1082,1425.689,1.04e-199,"*",0.569,4.3056e-197
"45","CA3_CA3 field, Right","datasource",1,1082,1705.226,1.48e-224,"*",0.612,6.1272e-222
"46","CA4_CA4 field, Left","datasource",1,1082,1556.487,1.16e-211,"*",0.59,4.8024e-209
"47","CA4_CA4 field, Right","datasource",1,1082,1911.882,2.27e-241,"*",0.639,9.3978e-239
"48","cc_corpus callosum","datasource",1,1082,1309.411,1.51e-188,"*",0.548,6.2514e-186
"49","CeA_Central Nucleus, Left","datasource",1,1082,1462.235,4.12e-203,"*",0.575,1.70568e-200
"50","CeA_Central Nucleus, Right","datasource",1,1082,1444.943,1.65e-201,"*",0.572,6.831e-199
"51","cgb_cingulum bundle, Left","datasource",1,1082,1421.623,2.5e-199,"*",0.568,1.035e-196
"52","cgb_cingulum bundle, Right","datasource",1,1082,1792.008,9.16e-232,"*",0.624,3.79224e-229
"53","CgGf-i_Cingulate gyrus, frontal part, Left, inferior bank of gyrus","datasource",1,1082,1674.077,6.49e-222,"*",0.607,2.68686e-219
"54","CgGf-i_Cingulate gyrus, frontal part, Right, inferior bank of gyrus","datasource",1,1082,1847.407,2.98e-236,"*",0.631,1.23372e-233
"55","CgGf-s_Cingulate gyrus, frontal part, Left, superior bank of gyrus","datasource",1,1082,1590.662,1.09e-214,"*",0.595,4.5126e-212
"56","CgGf-s_Cingulate gyrus, frontal part, Right, superior bank of gyrus","datasource",1,1082,1769.511,6.45e-230,"*",0.621,2.6703e-227
"57","CgGp-i_Cingulate gyrus, parietal part, Left, inferior bank of gyrus","datasource",1,1082,1595.665,3.96e-215,"*",0.596,1.63944e-212
"58","CgGp-i_Cingulate gyrus, parietal part, Right, inferior bank of gyrus","datasource",1,1082,1880.841,6.4e-239,"*",0.635,2.6496e-236
"59","CgGp-s_Cingulate gyrus, parietal part, Left, superior bank of gyrus","datasource",1,1082,1673.915,6.7e-222,"*",0.607,2.7738e-219
"60","CgGp-s_Cingulate gyrus, parietal part, Right, superior bank of gyrus","datasource",1,1082,2064.798,4.43e-253,"*",0.656,1.83402e-250
"61","CgGr-i_Cingulate gyrus, retrosplenial part, Left, inferior bank of gyrus","datasource",1,1082,1606.189,4.74e-216,"*",0.597,1.96236e-213
"62","CgGr-i_Cingulate gyrus, retrosplenial part, Right, inferior bank of gyrus","datasource",1,1082,1886.174,2.42e-239,"*",0.635,1.00188e-236
"63","CgGr-s_Cingulate gyrus, retrosplenial part, Left, superior bank of gyrus","datasource",1,1082,1456.111,1.52e-202,"*",0.574,6.2928e-200
"64","CgGr-s_Cingulate gyrus, retrosplenial part, Right, superior bank of gyrus","datasource",1,1082,1848.479,2.44e-236,"*",0.631,1.01016e-233
"65","CGMB_central grey substance of midbrain, Left","datasource",1,1082,1749.951,2.68e-228,"*",0.618,1.10952e-225
"66","CGMB_central grey substance of midbrain, Right","datasource",1,1082,2054.354,2.68e-252,"*",0.655,1.10952e-249
"67","CGPo_central grey of the pons, Left","datasource",1,1082,1507.928,2.69e-207,"*",0.582,1.11366e-204
"68","CGPo_central grey of the pons, Right","datasource",1,1082,1578.969,1.17e-213,"*",0.593,4.8438e-211
"69","CGS_central glial substance","datasource",1,1082,1398.524,3.78e-197,"*",0.564,1.56492e-194
"70","Cl_Claustrum, Left","datasource",1,1082,1718.229,1.19e-225,"*",0.614,4.9266e-223
"71","Cl_Claustrum, Right","datasource",1,1082,1655.999,2.29e-220,"*",0.605,9.4806e-218
"72","CMRt_central medullary reticular group, Left","datasource",1,1082,1876.112,1.52e-238,"*",0.634,6.2928e-236
"73","CMRt_central medullary reticular group, Right","datasource",1,1082,2273.9,3.34e-268,"*",0.678,1.38276e-265
