"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","10_dorsal motor nucleus of the vagus, Left","datasource",1,884,527.824,5.89e-92,"*",0.374,2.43846e-89
"2","10_dorsal motor nucleus of the vagus, Right","datasource",1,884,633.769,7.19e-106,"*",0.418,2.97666e-103
"3","12_hypoglossal nucleus, Left","datasource",1,884,545.47,2.41e-94,"*",0.382,9.9774e-92
"4","12_hypoglossal nucleus, Right","datasource",1,884,728.67,1.58e-117,"*",0.452,6.5412e-115
"5","3_Oculomotor Nuclear Complex, Left","datasource",1,884,504.954,8.15e-89,"*",0.364,3.3741e-86
"6","3_Oculomotor Nuclear Complex, Right","datasource",1,884,1092.372,1.3e-156,"*",0.553,5.382e-154
"7","4_trochlear nucleus, Left","datasource",1,884,728.92,1.47e-117,"*",0.452,6.0858e-115
"8","4_trochlear nucleus, Right","datasource",1,884,779.694,1.62e-123,"*",0.469,6.7068e-121
"9","6_abducens nucleus, Left","datasource",1,884,426.728,1.16e-77,"*",0.326,4.8024e-75
"10","6_abducens nucleus, Right","datasource",1,884,566.693,3.53e-97,"*",0.391,1.46142e-94
"11","7_facial motor nucleus, Left","datasource",1,884,495.616,1.62e-87,"*",0.359,6.7068e-85
"12","7_facial motor nucleus, Right","datasource",1,884,708.859,3.74e-115,"*",0.445,1.54836e-112
"13","8Co_cochlear nuclei, Left","datasource",1,884,501.621,2.36e-88,"*",0.362,9.7704e-86
"14","8Co_cochlear nuclei, Right","datasource",1,884,595.705,5.49e-101,"*",0.403,2.27286e-98
"15","8Ve_vestibular nuclei, Left","datasource",1,884,546.714,1.64e-94,"*",0.382,6.7896e-92
"16","8Ve_vestibular nuclei, Right","datasource",1,884,683.612,4.41e-112,"*",0.436,1.82574e-109
"17","Acb_Nucleus Accumbens, Left","datasource",1,884,528.468,4.82e-92,"*",0.374,1.99548e-89
"18","Acb_Nucleus Accumbens, Right","datasource",1,884,507.079,4.14e-89,"*",0.365,1.71396e-86
"19","AHA_Anterior Hypothalamic Area, Left","datasource",1,884,600.577,1.28e-101,"*",0.405,5.2992e-99
"20","AHA_Anterior Hypothalamic Area, Right","datasource",1,884,551.987,3.21e-95,"*",0.384,1.32894e-92
"21","AnG-i_angular gyrus, Left, inferior bank of gyrus","datasource",1,884,404.81,2.03e-74,"*",0.314,8.4042e-72
"22","AnG-i_angular gyrus, Right, inferior bank of gyrus","datasource",1,884,477.589,5.48e-85,"*",0.351,2.26872e-82
"23","AnG-s_angular gyrus, Left, superior bank of gyrus","datasource",1,884,394.264,7.74e-73,"*",0.308,3.20436e-70
"24","AnG-s_angular gyrus, Right, superior bank of gyrus","datasource",1,884,461.424,1.09e-82,"*",0.343,4.5126e-80
"25","AOrG_anterior orbital gyrus, Left","datasource",1,884,335.43,9.08e-64,"*",0.275,3.75912e-61
"26","AOrG_anterior orbital gyrus, Right","datasource",1,884,474.776,1.37e-84,"*",0.349,5.6718e-82
"27","Arc_arcuate nucleus of medulla, Left","datasource",1,884,523.825,2.07e-91,"*",0.372,8.5698e-89
"28","Arc_arcuate nucleus of medulla, Right","datasource",1,884,590.004,3.04e-100,"*",0.4,1.25856e-97
"29","ARH_Arcuate Nucleus of the Hypothalamus, Left","datasource",1,884,373.056,1.28e-69,"*",0.297,5.2992e-67
"30","ARH_Arcuate Nucleus of the Hypothalamus, Right","datasource",1,884,880.308,8.42e-135,"*",0.499,3.48588e-132
