"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,394,22.041,3.69e-06,"*",0.053,9.594e-05
"2","AMY","datasource",1,405,850.56,1.5e-101,"*",0.677,3.9e-100
"3","CBC","datasource",1,361,84.179,3.54e-18,"*",0.189,9.204e-17
"4","CGE","datasource",1,20,87.462,9.64e-09,"*",0.814,2.5064e-07
"5","DFC","datasource",1,438,82.44,3.75e-18,"*",0.158,9.75e-17
"6","DTH","datasource",1,20,21.477,0.00016,"*",0.518,0.00416
"7","HIP","datasource",1,427,825.341,8.11e-102,"*",0.659,2.1086e-100
"8","IPC","datasource",1,427,8.159,0.004,"*",0.019,0.104
"9","ITC","datasource",1,405,107.094,2e-22,"*",0.209,5.2e-21
"10","LGE","datasource",1,20,365.894,2.52e-14,"*",0.948,6.552e-13
"11","M1C","datasource",1,361,43.16,1.76e-10,"*",0.107,4.576e-09
"12","M1CS1C","datasource",1,20,232.4,1.79e-12,"*",0.921,4.654e-11
"13","MD","datasource",1,361,1040.012,2.42e-108,"*",0.742,6.292e-107
"14","MFC","datasource",1,427,194.688,1.01e-36,"*",0.313,2.626e-35
"15","MGE","datasource",1,20,131.572,3.01e-10,"*",0.868,7.826e-09
"16","MSC","datasource",1,42,21.441,3.5e-05,"*",0.338,0.00091
"17","OC","datasource",1,20,3580.87,4.94e-24,"*",0.994,1.2844e-22
"18","OFC","datasource",1,405,167.414,2.73e-32,"*",0.292,7.098e-31
"19","PC","datasource",1,20,421.491,6.55e-15,"*",0.955,1.703e-13
"20","S1C","datasource",1,372,4.058,0.045,"*",0.011,1
"21","STC","datasource",1,405,31.392,3.9e-08,"*",0.072,1.014e-06
"22","STR","datasource",1,372,362.78,6.08e-57,"*",0.494,1.5808e-55
"23","TC","datasource",1,9,1731.5,1.33e-11,"*",0.995,3.458e-10
"24","URL","datasource",1,20,179.828,1.86e-11,"*",0.9,4.836e-10
"25","V1C","datasource",1,416,13.518,0.000267,"*",0.031,0.006942
"26","VFC","datasource",1,438,102.676,8.07e-22,"*",0.19,2.0982e-20
