"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,42,37.29,2.79e-07,"*",0.47,4.464e-06
"2","AMY","datasource",1,53,30.098,1.17e-06,"*",0.362,1.872e-05
"3","CBC","datasource",1,42,3.87,0.056,"",0.084,0.896
"4","DFC","datasource",1,53,11.164,0.002,"*",0.174,0.032
"5","HIP","datasource",1,53,15.325,0.00026,"*",0.224,0.00416
"6","IPC","datasource",1,53,8.545,0.005,"*",0.139,0.08
"7","ITC","datasource",1,53,3.214,0.079,"",0.057,1
"8","M1C","datasource",1,53,72.273,1.79e-11,"*",0.577,2.864e-10
"9","MD","datasource",1,53,4.752,0.034,"*",0.082,0.544
"10","MFC","datasource",1,53,13.391,0.000583,"*",0.202,0.009328
"11","OFC","datasource",1,53,16.958,0.000134,"*",0.242,0.002144
"12","S1C","datasource",1,53,19.773,4.49e-05,"*",0.272,0.0007184
"13","STC","datasource",1,42,18.938,8.46e-05,"*",0.311,0.0013536
"14","STR","datasource",1,53,2.369,0.13,"",0.043,1
"15","V1C","datasource",1,42,0.028,0.869,"",0.000659,1
"16","VFC","datasource",1,53,38.052,9.75e-08,"*",0.418,1.56e-06
