"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,53,70.368,2.69e-11,"*",0.57,4.304e-10
"2","AMY","datasource",1,53,233.469,4.58e-21,"*",0.815,7.328e-20
"3","CBC","datasource",1,53,23.552,1.11e-05,"*",0.308,0.0001776
"4","DFC","datasource",1,53,325.297,2.82e-24,"*",0.86,4.512e-23
"5","HIP","datasource",1,53,76.792,6.9e-12,"*",0.592,1.104e-10
"6","IPC","datasource",1,53,97.511,1.3e-13,"*",0.648,2.08e-12
"7","ITC","datasource",1,53,70.059,2.88e-11,"*",0.569,4.608e-10
"8","M1C","datasource",1,42,243.976,4.23e-19,"*",0.853,6.768e-18
"9","MD","datasource",1,20,9.243,0.006,"*",0.316,0.096
"10","MFC","datasource",1,53,333.183,1.63e-24,"*",0.863,2.608e-23
"11","OFC","datasource",1,53,177.455,1.5e-18,"*",0.77,2.4e-17
"12","S1C","datasource",1,42,159.059,7.15e-16,"*",0.791,1.144e-14
"13","STC","datasource",1,53,131.337,5.79e-16,"*",0.712,9.264e-15
"14","STR","datasource",1,20,212.181,4.13e-12,"*",0.914,6.608e-11
"15","V1C","datasource",1,53,67.674,4.87e-11,"*",0.561,7.792e-10
"16","VFC","datasource",1,53,298.461,1.99e-23,"*",0.849,3.184e-22
