"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,64,170.137,1.09e-19,"*",0.727,1.744e-18
"2","AMY","datasource",1,64,7.706,0.007,"*",0.107,0.112
"3","CBC","datasource",1,42,59.672,1.36e-09,"*",0.587,2.176e-08
"4","DFC","datasource",1,64,408.586,1.75e-29,"*",0.865,2.8e-28
"5","HIP","datasource",1,64,3.131,0.082,"",0.047,1
"6","IPC","datasource",1,64,87.794,1.29e-13,"*",0.578,2.064e-12
"7","ITC","datasource",1,64,72.436,4.06e-12,"*",0.531,6.496e-11
"8","M1C","datasource",1,64,238.894,2.78e-23,"*",0.789,4.448e-22
"9","MD","datasource",1,42,9.389,0.004,"*",0.183,0.064
"10","MFC","datasource",1,64,294.473,1.24e-25,"*",0.821,1.984e-24
"11","OFC","datasource",1,64,231.916,5.87e-23,"*",0.784,9.392e-22
"12","S1C","datasource",1,64,226.274,1.09e-22,"*",0.78,1.744e-21
"13","STC","datasource",1,42,113.695,1.6e-13,"*",0.73,2.56e-12
"14","STR","datasource",1,64,38.314,4.79e-08,"*",0.374,7.664e-07
"15","V1C","datasource",1,64,142.148,6.59e-18,"*",0.69,1.0544e-16
"16","VFC","datasource",1,64,227.96,9.05e-23,"*",0.781,1.448e-21
