"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,42,12.086,0.001,"*",0.223,0.016
"2","AMY","datasource",1,42,97.598,1.61e-12,"*",0.699,2.576e-11
"3","CBC","datasource",1,53,74.615,1.09e-11,"*",0.585,1.744e-10
"4","DFC","datasource",1,42,0.017,0.898,"",0.000395,1
"5","HIP","datasource",1,42,49.82,1.2e-08,"*",0.543,1.92e-07
"6","IPC","datasource",1,53,3.369,0.072,"",0.06,1
"7","ITC","datasource",1,53,2.732,0.104,"",0.049,1
"8","M1C","datasource",1,42,8.891,0.005,"*",0.175,0.08
"9","MD","datasource",1,53,11.241,0.001,"*",0.175,0.016
"10","MFC","datasource",1,42,77.201,4.6e-11,"*",0.648,7.36e-10
"11","OFC","datasource",1,42,8.224,0.006,"*",0.164,0.096
"12","S1C","datasource",1,53,12.515,0.000849,"*",0.191,0.013584
"13","STC","datasource",1,53,1.304,0.259,"",0.024,1
"14","STR","datasource",1,42,0.162,0.689,"",0.004,1
"15","V1C","datasource",1,53,9.87,0.003,"*",0.157,0.048
"16","VFC","datasource",1,53,78.997,4.39e-12,"*",0.598,7.024e-11
