"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,42,68.547,2.29e-10,"*",0.62,3.664e-09
"2","AMY","datasource",1,31,455.656,4.27e-20,"*",0.936,6.832e-19
"3","CBC","datasource",1,42,439.396,7.28e-24,"*",0.913,1.1648e-22
"4","DFC","datasource",1,42,26.281,7.05e-06,"*",0.385,0.0001128
"5","HIP","datasource",1,31,308.219,1.16e-17,"*",0.909,1.856e-16
"6","IPC","datasource",1,42,30.706,1.81e-06,"*",0.422,2.896e-05
"7","ITC","datasource",1,42,70.982,1.44e-10,"*",0.628,2.304e-09
"8","M1C","datasource",1,42,56.599,2.62e-09,"*",0.574,4.192e-08
"9","MD","datasource",1,31,1309.787,6.3e-27,"*",0.977,1.008e-25
"10","MFC","datasource",1,42,91.679,4.04e-12,"*",0.686,6.464e-11
"11","OFC","datasource",1,42,48.936,1.48e-08,"*",0.538,2.368e-07
"12","S1C","datasource",1,42,34.551,5.95e-07,"*",0.451,9.52e-06
"13","STC","datasource",1,42,24.16,1.4e-05,"*",0.365,0.000224
"14","STR","datasource",1,31,152.561,1.65e-13,"*",0.831,2.64e-12
"15","V1C","datasource",1,42,34.638,5.81e-07,"*",0.452,9.296e-06
"16","VFC","datasource",1,42,98.911,1.32e-12,"*",0.702,2.112e-11
