"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,42,13.175,0.000764,"*",0.239,0.012224
"2","AMY","datasource",1,53,96.807,1.48e-13,"*",0.646,2.368e-12
"3","CBC","datasource",1,42,26.363,6.87e-06,"*",0.386,0.00010992
"4","DFC","datasource",1,53,27.511,2.79e-06,"*",0.342,4.464e-05
"5","HIP","datasource",1,53,28.324,2.12e-06,"*",0.348,3.392e-05
"6","IPC","datasource",1,53,20.321,3.65e-05,"*",0.277,0.000584
"7","ITC","datasource",1,53,35.449,2.14e-07,"*",0.401,3.424e-06
"8","M1C","datasource",1,53,13.681,0.000516,"*",0.205,0.008256
"9","MD","datasource",1,53,32.707,5.05e-07,"*",0.382,8.08e-06
"10","MFC","datasource",1,53,13.192,0.000635,"*",0.199,0.01016
"11","OFC","datasource",1,53,56.531,6.6e-10,"*",0.516,1.056e-08
"12","S1C","datasource",1,53,19.309,5.37e-05,"*",0.267,0.0008592
"13","STC","datasource",1,42,14.302,0.000486,"*",0.254,0.007776
"14","STR","datasource",1,53,65.157,8.59e-11,"*",0.551,1.3744e-09
"15","V1C","datasource",1,42,8.819,0.005,"*",0.174,0.08
"16","VFC","datasource",1,53,31.995,6.34e-07,"*",0.376,1.0144e-05
