"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,3494,200.362,2.85e-44,"*",0.054,4.56e-43
"2","AMY","datasource",1,2620,158.342,2.68e-35,"*",0.057,4.288e-34
"3","CBC","datasource",1,3494,247.149,7.31e-54,"*",0.066,1.1696e-52
"4","DFC","datasource",1,3494,191.914,1.59e-42,"*",0.052,2.544e-41
"5","HIP","datasource",1,2620,142.42,5.23e-32,"*",0.052,8.368e-31
"6","IPC","datasource",1,3494,204.493,4e-45,"*",0.055,6.4e-44
"7","ITC","datasource",1,3494,200.27,2.98e-44,"*",0.054,4.768e-43
"8","M1C","datasource",1,3494,196.948,1.44e-43,"*",0.053,2.304e-42
"9","MD","datasource",1,2620,163.036,2.89e-36,"*",0.059,4.624e-35
"10","MFC","datasource",1,3494,186.953,1.69e-41,"*",0.051,2.704e-40
"11","OFC","datasource",1,3494,200.274,2.97e-44,"*",0.054,4.752e-43
"12","S1C","datasource",1,3494,199.675,3.95e-44,"*",0.054,6.32e-43
"13","STC","datasource",1,3494,199.758,3.8e-44,"*",0.054,6.08e-43
"14","STR","datasource",1,2620,158.654,2.31e-35,"*",0.057,3.696e-34
"15","V1C","datasource",1,3494,209.437,3.84e-46,"*",0.057,6.144e-45
"16","VFC","datasource",1,3494,196.661,1.66e-43,"*",0.053,2.656e-42
