"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,5242,288.767,4.4e-63,"*",0.052,7.04e-62
"2","AMY","datasource",1,5242,283.376,5.71e-62,"*",0.051,9.136e-61
"3","CBC","datasource",1,5242,368.88,1.67e-79,"*",0.066,2.672e-78
"4","DFC","datasource",1,5242,290.232,2.19e-63,"*",0.052,3.504e-62
"5","HIP","datasource",1,5242,269.621,4.02e-59,"*",0.049,6.432e-58
"6","IPC","datasource",1,5242,303.857,3.4e-66,"*",0.055,5.44e-65
"7","ITC","datasource",1,5242,298.074,5.28e-65,"*",0.054,8.448e-64
"8","M1C","datasource",1,5242,285.497,2.08e-62,"*",0.052,3.328e-61
"9","MD","datasource",1,5242,334.948,1.41e-72,"*",0.06,2.256e-71
"10","MFC","datasource",1,4368,239.121,1.48e-52,"*",0.052,2.368e-51
"11","OFC","datasource",1,5242,290.737,1.72e-63,"*",0.053,2.752e-62
"12","S1C","datasource",1,5242,287.775,7.04e-63,"*",0.052,1.1264e-61
"13","STC","datasource",1,5242,298.007,5.45e-65,"*",0.054,8.72e-64
"14","STR","datasource",1,5242,299.809,2.32e-65,"*",0.054,3.712e-64
"15","V1C","datasource",1,5242,299.775,2.36e-65,"*",0.054,3.776e-64
"16","VFC","datasource",1,5242,288.788,4.35e-63,"*",0.052,6.96e-62
