"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,3494,228.663,4.34e-50,"*",0.061,6.944e-49
"2","AMY","datasource",1,4368,243.031,2.3e-53,"*",0.053,3.68e-52
"3","CBC","datasource",1,3494,282.312,5.49e-61,"*",0.075,8.784e-60
"4","DFC","datasource",1,4368,302.595,1.39e-65,"*",0.065,2.224e-64
"5","HIP","datasource",1,4368,226.109,7.3e-50,"*",0.049,1.168e-48
"6","IPC","datasource",1,4368,230.203,1.04e-50,"*",0.05,1.664e-49
"7","ITC","datasource",1,4368,251.408,4.3e-55,"*",0.054,6.88e-54
"8","M1C","datasource",1,4368,290.844,3.47e-63,"*",0.062,5.552e-62
"9","MD","datasource",1,4368,293.392,1.05e-63,"*",0.063,1.68e-62
"10","MFC","datasource",1,4368,300.102,4.48e-65,"*",0.064,7.168e-64
"11","OFC","datasource",1,4368,298.36,1.01e-64,"*",0.064,1.616e-63
"12","S1C","datasource",1,4368,271.135,3.76e-59,"*",0.058,6.016e-58
"13","STC","datasource",1,3494,242.324,7.03e-53,"*",0.065,1.1248e-51
"14","STR","datasource",1,4368,263.595,1.33e-57,"*",0.057,2.128e-56
"15","V1C","datasource",1,3494,249.079,2.96e-54,"*",0.067,4.736e-53
"16","VFC","datasource",1,4368,290.37,4.34e-63,"*",0.062,6.944e-62
