"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,4368,268.224,1.49e-58,"*",0.058,2.384e-57
"2","AMY","datasource",1,4368,264.198,1e-57,"*",0.057,1.6e-56
"3","CBC","datasource",1,4368,290.108,4.91e-63,"*",0.062,7.856e-62
"4","DFC","datasource",1,4368,244.106,1.38e-53,"*",0.053,2.208e-52
"5","HIP","datasource",1,4368,237.871,2.68e-52,"*",0.052,4.288e-51
"6","IPC","datasource",1,4368,262.904,1.85e-57,"*",0.057,2.96e-56
"7","ITC","datasource",1,4368,281.025,3.54e-61,"*",0.06,5.664e-60
"8","M1C","datasource",1,3494,216.724,1.22e-47,"*",0.058,1.952e-46
"9","MD","datasource",1,1746,127.841,1.17e-28,"*",0.068,1.872e-27
"10","MFC","datasource",1,4368,230.97,7.18e-51,"*",0.05,1.1488e-49
"11","OFC","datasource",1,4368,249.599,1.01e-54,"*",0.054,1.616e-53
"12","S1C","datasource",1,3494,215.424,2.25e-47,"*",0.058,3.6e-46
"13","STC","datasource",1,4368,260.871,4.83e-57,"*",0.056,7.728e-56
"14","STR","datasource",1,1746,108.828,9.3e-25,"*",0.059,1.488e-23
"15","V1C","datasource",1,4368,258.825,1.27e-56,"*",0.056,2.032e-55
"16","VFC","datasource",1,4368,240.358,8.2e-53,"*",0.052,1.312e-51
