"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,2620,224.524,9.21e-49,"*",0.079,1.5657e-47
"2","AMY","datasource",1,2620,198.539,1.62e-43,"*",0.07,2.754e-42
"3","CBC","datasource",1,2620,216.466,3.85e-47,"*",0.076,6.545e-46
"4","DFC","datasource",1,3494,312.536,4.69e-67,"*",0.082,7.973e-66
"5","HIP","datasource",1,3494,238.379,4.49e-52,"*",0.064,7.633e-51
"6","IPC","datasource",1,3494,279.411,2.11e-60,"*",0.074,3.587e-59
"7","ITC","datasource",1,2620,208.149,1.84e-45,"*",0.074,3.128e-44
"8","M1C","datasource",1,2620,230.092,7.03e-50,"*",0.081,1.1951e-48
"9","MD","datasource",1,3494,287.671,4.57e-62,"*",0.076,7.769e-61
"10","MFC","datasource",1,3494,320.134,1.42e-68,"*",0.084,2.414e-67
"11","MSC","datasource",1,872,62.456,8.2e-15,"*",0.067,1.394e-13
"12","OFC","datasource",1,2620,246.104,4.43e-53,"*",0.086,7.531e-52
"13","S1C","datasource",1,2620,201.581,3.92e-44,"*",0.071,6.664e-43
"14","STC","datasource",1,3494,292.605,4.65e-63,"*",0.077,7.905e-62
"15","STR","datasource",1,3494,326.443,7.86e-70,"*",0.085,1.3362e-68
"16","V1C","datasource",1,3494,268.337,3.65e-58,"*",0.071,6.205e-57
"17","VFC","datasource",1,3494,302.436,4.94e-65,"*",0.08,8.398e-64
