"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,3494,250.888,1.27e-54,"*",0.067,2.032e-53
"2","AMY","datasource",1,3494,219.657,3.05e-48,"*",0.059,4.88e-47
"3","CBC","datasource",1,4368,270.418,5.28e-59,"*",0.058,8.448e-58
"4","DFC","datasource",1,3494,238.887,3.53e-52,"*",0.064,5.648e-51
"5","HIP","datasource",1,3494,190.756,2.75e-42,"*",0.052,4.4e-41
"6","IPC","datasource",1,4368,293.689,9.11e-64,"*",0.063,1.4576e-62
"7","ITC","datasource",1,4368,313.99,6.67e-68,"*",0.067,1.0672e-66
"8","M1C","datasource",1,3494,234.564,2.7e-51,"*",0.063,4.32e-50
"9","MD","datasource",1,4368,302.346,1.56e-65,"*",0.065,2.496e-64
"10","MFC","datasource",1,3494,222.002,1.01e-48,"*",0.06,1.616e-47
"11","OFC","datasource",1,3494,242.016,8.12e-53,"*",0.065,1.2992e-51
"12","S1C","datasource",1,4368,284.971,5.51e-62,"*",0.061,8.816e-61
"13","STC","datasource",1,4368,296.76,2.15e-64,"*",0.064,3.44e-63
"14","STR","datasource",1,3494,235.04,2.16e-51,"*",0.063,3.456e-50
"15","V1C","datasource",1,4368,295.343,4.19e-64,"*",0.063,6.704e-63
"16","VFC","datasource",1,4368,283.976,8.8e-62,"*",0.061,1.408e-60
