"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,5242,245.67,3.81e-54,"*",0.045,6.096e-53
"2","AMY","datasource",1,5242,126.156,6.07e-29,"*",0.024,9.712e-28
"3","CBC","datasource",1,5242,556.338,5.41e-117,"*",0.096,8.656e-116
"4","DFC","datasource",1,5242,268.612,6.51e-59,"*",0.049,1.0416e-57
"5","HIP","datasource",1,5242,144.127,8.94e-33,"*",0.027,1.4304e-31
"6","IPC","datasource",1,5242,301.635,9.75e-66,"*",0.054,1.56e-64
"7","ITC","datasource",1,5242,253.225,1.02e-55,"*",0.046,1.632e-54
"8","M1C","datasource",1,5242,259.185,5.89e-57,"*",0.047,9.424e-56
"9","MD","datasource",1,5242,119.224,1.84e-27,"*",0.022,2.944e-26
"10","MFC","datasource",1,4368,177.792,8.73e-40,"*",0.039,1.3968e-38
"11","OFC","datasource",1,5242,256.907,1.75e-56,"*",0.047,2.8e-55
"12","S1C","datasource",1,5242,295.595,1.71e-64,"*",0.053,2.736e-63
"13","STC","datasource",1,5242,289.356,3.32e-63,"*",0.052,5.312e-62
"14","STR","datasource",1,5242,113.738,2.76e-26,"*",0.021,4.416e-25
"15","V1C","datasource",1,5242,262.174,1.41e-57,"*",0.048,2.256e-56
"16","VFC","datasource",1,5242,268.945,5.55e-59,"*",0.049,8.88e-58
