"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,3494,214.661,3.23e-47,"*",0.058,5.168e-46
"2","AMY","datasource",1,4368,188.585,4.78e-42,"*",0.041,7.648e-41
"3","CBC","datasource",1,3494,305.373,1.27e-65,"*",0.08,2.032e-64
"4","DFC","datasource",1,4368,236.917,4.22e-52,"*",0.051,6.752e-51
"5","HIP","datasource",1,4368,193.359,4.8e-43,"*",0.042,7.68e-42
"6","IPC","datasource",1,4368,170.765,2.61e-38,"*",0.038,4.176e-37
"7","ITC","datasource",1,4368,202.064,7.31e-45,"*",0.044,1.1696e-43
"8","M1C","datasource",1,4368,248.748,1.52e-54,"*",0.054,2.432e-53
"9","MD","datasource",1,4368,232.828,2.96e-51,"*",0.051,4.736e-50
"10","MFC","datasource",1,4368,243.204,2.12e-53,"*",0.053,3.392e-52
"11","OFC","datasource",1,4368,260.08,7.03e-57,"*",0.056,1.1248e-55
"12","S1C","datasource",1,4368,223.711,2.29e-49,"*",0.049,3.664e-48
"13","STC","datasource",1,3494,207.904,7.94e-46,"*",0.056,1.2704e-44
"14","STR","datasource",1,4368,183.774,4.87e-41,"*",0.04,7.792e-40
"15","V1C","datasource",1,3494,207.006,1.22e-45,"*",0.056,1.952e-44
"16","VFC","datasource",1,4368,243.261,2.06e-53,"*",0.053,3.296e-52
