"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,4368,238.954,1.6e-52,"*",0.052,2.56e-51
"2","AMY","datasource",1,4368,142.954,1.92e-32,"*",0.032,3.072e-31
"3","CBC","datasource",1,4368,460.197,3.82e-97,"*",0.095,6.112e-96
"4","DFC","datasource",1,4368,202.826,5.07e-45,"*",0.044,8.112e-44
"5","HIP","datasource",1,4368,180.691,2.15e-40,"*",0.04,3.44e-39
"6","IPC","datasource",1,4368,272.32,2.15e-59,"*",0.059,3.44e-58
"7","ITC","datasource",1,4368,292.754,1.41e-63,"*",0.063,2.256e-62
"8","M1C","datasource",1,3494,226.298,1.32e-49,"*",0.061,2.112e-48
"9","MD","datasource",1,1746,51.728,9.42e-13,"*",0.029,1.5072e-11
"10","MFC","datasource",1,4368,184.744,3.05e-41,"*",0.041,4.88e-40
"11","OFC","datasource",1,4368,187.994,6.36e-42,"*",0.041,1.0176e-40
"12","S1C","datasource",1,3494,204.717,3.6e-45,"*",0.055,5.76e-44
"13","STC","datasource",1,4368,302.465,1.48e-65,"*",0.065,2.368e-64
"14","STR","datasource",1,1746,61.353,8.22e-15,"*",0.034,1.3152e-13
"15","V1C","datasource",1,4368,227.306,4.12e-50,"*",0.049,6.592e-49
"16","VFC","datasource",1,4368,197.873,5.48e-44,"*",0.043,8.768e-43
