"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,3494,318.947,2.46e-68,"*",0.084,4.182e-67
"2","AMY","datasource",1,2620,141.071,9.97e-32,"*",0.051,1.6949e-30
"3","CBC","datasource",1,1746,91.251,4.11e-21,"*",0.05,6.987e-20
"4","DFC","datasource",1,3494,233.249,5.01e-51,"*",0.063,8.517e-50
"5","HIP","datasource",1,3494,163.059,1.57e-36,"*",0.045,2.669e-35
"6","IPC","datasource",1,3494,280.609,1.21e-60,"*",0.074,2.057e-59
"7","ITC","datasource",1,1746,90.863,4.95e-21,"*",0.049,8.415e-20
"8","M1C","datasource",1,872,85.733,1.56e-19,"*",0.09,2.652e-18
"9","MD","datasource",1,3494,143.157,2.31e-32,"*",0.039,3.927e-31
"10","MFC","datasource",1,3494,252.841,5.08e-55,"*",0.067,8.636e-54
"11","MSC","datasource",1,2620,194.031,1.33e-42,"*",0.069,2.261e-41
"12","OFC","datasource",1,1746,100.855,4.14e-23,"*",0.055,7.038e-22
"13","S1C","datasource",1,872,67.899,6.28e-16,"*",0.072,1.0676e-14
"14","STC","datasource",1,3494,231.832,9.76e-51,"*",0.062,1.6592e-49
"15","STR","datasource",1,3494,250.731,1.36e-54,"*",0.067,2.312e-53
"16","V1C","datasource",1,3494,345.751,1.15e-73,"*",0.09,1.955e-72
"17","VFC","datasource",1,3494,231.889,9.5e-51,"*",0.062,1.615e-49
