"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,3494,183.328,9.53e-41,"*",0.05,1.5248e-39
"2","AMY","datasource",1,3494,156.81,3.18e-35,"*",0.043,5.088e-34
"3","CBC","datasource",1,4368,384.373,4.28e-82,"*",0.081,6.848e-81
"4","DFC","datasource",1,3494,180.767,3.24e-40,"*",0.049,5.184e-39
"5","HIP","datasource",1,3494,108.661,4.47e-25,"*",0.03,7.152e-24
"6","IPC","datasource",1,4368,224.889,1.31e-49,"*",0.049,2.096e-48
"7","ITC","datasource",1,4368,242.709,2.68e-53,"*",0.053,4.288e-52
"8","M1C","datasource",1,3494,168.727,1.03e-37,"*",0.046,1.648e-36
"9","MD","datasource",1,4368,215.175,1.36e-47,"*",0.047,2.176e-46
"10","MFC","datasource",1,3494,168.07,1.42e-37,"*",0.046,2.272e-36
"11","OFC","datasource",1,3494,155.77,5.25e-35,"*",0.043,8.4e-34
"12","S1C","datasource",1,4368,320.623,3e-69,"*",0.068,4.8e-68
"13","STC","datasource",1,4368,259.065,1.14e-56,"*",0.056,1.824e-55
"14","STR","datasource",1,3494,138.583,2.11e-31,"*",0.038,3.376e-30
"15","V1C","datasource",1,4368,272.558,1.92e-59,"*",0.059,3.072e-58
"16","VFC","datasource",1,4368,200.238,1.76e-44,"*",0.044,2.816e-43
