"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,42,149.067,2.1e-15,"*",0.78,3.36e-14
"2","AMY","datasource",1,31,58.676,1.22e-08,"*",0.654,1.952e-07
"3","CBC","datasource",1,42,12.811,0.000886,"*",0.234,0.014176
"4","DFC","datasource",1,42,147.631,2.46e-15,"*",0.779,3.936e-14
"5","HIP","datasource",1,31,92.856,7.71e-11,"*",0.75,1.2336e-09
"6","IPC","datasource",1,42,110.828,2.36e-13,"*",0.725,3.776e-12
"7","ITC","datasource",1,42,112.544,1.87e-13,"*",0.728,2.992e-12
"8","M1C","datasource",1,42,143.793,3.79e-15,"*",0.774,6.064e-14
"9","MD","datasource",1,31,17.073,0.000253,"*",0.355,0.004048
"10","MFC","datasource",1,42,222.629,2.17e-18,"*",0.841,3.472e-17
"11","OFC","datasource",1,42,176.945,1.18e-16,"*",0.808,1.888e-15
"12","S1C","datasource",1,42,178.174,1.05e-16,"*",0.809,1.68e-15
"13","STC","datasource",1,42,84.414,1.32e-11,"*",0.668,2.112e-10
"14","STR","datasource",1,31,138.498,5.72e-13,"*",0.817,9.152e-12
"15","V1C","datasource",1,42,26.545,6.49e-06,"*",0.387,0.00010384
"16","VFC","datasource",1,42,147.469,2.51e-15,"*",0.778,4.016e-14
