"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,64,194.411,4.58e-21,"*",0.752,7.328e-20
"2","AMY","datasource",1,64,196.311,3.62e-21,"*",0.754,5.792e-20
"3","CBC","datasource",1,64,4.131,0.046,"*",0.061,0.736
"4","DFC","datasource",1,64,243.738,1.67e-23,"*",0.792,2.672e-22
"5","HIP","datasource",1,64,107.939,2.29e-15,"*",0.628,3.664e-14
"6","IPC","datasource",1,64,131.065,3.91e-17,"*",0.672,6.256e-16
"7","ITC","datasource",1,64,152.036,1.46e-18,"*",0.704,2.336e-17
"8","M1C","datasource",1,64,838.137,1.74e-38,"*",0.929,2.784e-37
"9","MD","datasource",1,64,20.455,2.71e-05,"*",0.242,0.0004336
"10","MFC","datasource",1,53,301.304,1.61e-23,"*",0.85,2.576e-22
"11","OFC","datasource",1,64,132.792,2.94e-17,"*",0.675,4.704e-16
"12","S1C","datasource",1,64,397.206,3.82e-29,"*",0.861,6.112e-28
"13","STC","datasource",1,64,165.812,1.99e-19,"*",0.722,3.184e-18
"14","STR","datasource",1,64,212.039,5.48e-22,"*",0.768,8.768e-21
"15","V1C","datasource",1,64,106.758,2.86e-15,"*",0.625,4.576e-14
"16","VFC","datasource",1,64,136.961,1.5e-17,"*",0.682,2.4e-16
