"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,31,7.951,0.008,"*",0.204,0.136
"2","AMY","datasource",1,31,6.093,0.019,"*",0.164,0.323
"3","CBC","datasource",1,31,16.993,0.00026,"*",0.354,0.00442
"4","DFC","datasource",1,42,7.385,0.01,"*",0.15,0.17
"5","HIP","datasource",1,42,16.451,0.000212,"*",0.281,0.003604
"6","IPC","datasource",1,42,7.092,0.011,"*",0.144,0.187
"7","ITC","datasource",1,31,15.531,0.00043,"*",0.334,0.00731
"8","M1C","datasource",1,31,8.232,0.007,"*",0.21,0.119
"9","MD","datasource",1,42,5.384,0.025,"*",0.114,0.425
"10","MFC","datasource",1,42,36.18,3.78e-07,"*",0.463,6.426e-06
"11","MSC","datasource",1,9,42.766,0.000106,"*",0.826,0.001802
"12","OFC","datasource",1,31,6.299,0.018,"*",0.169,0.306
"13","S1C","datasource",1,31,0.011,0.918,"",0.000347,1
"14","STC","datasource",1,42,12.399,0.001,"*",0.228,0.017
"15","STR","datasource",1,42,18.571,9.66e-05,"*",0.307,0.0016422
"16","V1C","datasource",1,42,2.669,0.11,"",0.06,1
"17","VFC","datasource",1,42,43.132,6.06e-08,"*",0.507,1.0302e-06
