"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,64,60.84,7.26e-11,"*",0.487,1.1616e-09
"2","AMY","datasource",1,64,345.803,1.69e-27,"*",0.844,2.704e-26
"3","CBC","datasource",1,64,385,9.02e-29,"*",0.857,1.4432e-27
"4","DFC","datasource",1,64,23.635,7.9e-06,"*",0.27,0.0001264
"5","HIP","datasource",1,64,343.208,2.07e-27,"*",0.843,3.312e-26
"6","IPC","datasource",1,64,12.7,0.000697,"*",0.166,0.011152
"7","ITC","datasource",1,64,161.333,3.75e-19,"*",0.716,6e-18
"8","M1C","datasource",1,64,88.094,1.21e-13,"*",0.579,1.936e-12
"9","MD","datasource",1,64,4298.683,2.12e-60,"*",0.985,3.392e-59
"10","MFC","datasource",1,53,221.835,1.38e-20,"*",0.807,2.208e-19
"11","OFC","datasource",1,64,39.421,3.36e-08,"*",0.381,5.376e-07
"12","S1C","datasource",1,64,9.069,0.004,"*",0.124,0.064
"13","STC","datasource",1,64,35.787,1.09e-07,"*",0.359,1.744e-06
"14","STR","datasource",1,64,1307.12,2.62e-44,"*",0.953,4.192e-43
"15","V1C","datasource",1,64,29.884,8.08e-07,"*",0.318,1.2928e-05
"16","VFC","datasource",1,64,33.043,2.72e-07,"*",0.34,4.352e-06
