"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,53,15.18,0.000276,"*",0.223,0.004416
"2","AMY","datasource",1,53,163.051,8.39e-18,"*",0.755,1.3424e-16
"3","CBC","datasource",1,53,401.482,2.15e-26,"*",0.883,3.44e-25
"4","DFC","datasource",1,53,25.22,6.15e-06,"*",0.322,9.84e-05
"5","HIP","datasource",1,53,44.654,1.46e-08,"*",0.457,2.336e-07
"6","IPC","datasource",1,53,3.169,0.081,"",0.056,1
"7","ITC","datasource",1,53,1.87,0.177,"",0.034,1
"8","M1C","datasource",1,42,7.785,0.008,"*",0.156,0.128
"9","MD","datasource",1,20,1100.288,5.84e-19,"*",0.982,9.344e-18
"10","MFC","datasource",1,53,94.068,2.42e-13,"*",0.64,3.872e-12
"11","OFC","datasource",1,53,47.02,7.66e-09,"*",0.47,1.2256e-07
"12","S1C","datasource",1,42,15.218,0.00034,"*",0.266,0.00544
"13","STC","datasource",1,53,1.065,0.307,"",0.02,1
"14","STR","datasource",1,20,4865.445,2.33e-25,"*",0.996,3.728e-24
"15","V1C","datasource",1,53,18.274,8e-05,"*",0.256,0.00128
"16","VFC","datasource",1,53,21.836,2.08e-05,"*",0.292,0.0003328
