"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,31,4.769,0.037,"*",0.133,0.629
"2","AMY","datasource",1,31,22.088,5.07e-05,"*",0.416,0.0008619
"3","CBC","datasource",1,31,0.218,0.644,"",0.007,1
"4","DFC","datasource",1,42,33.259,8.59e-07,"*",0.442,1.4603e-05
"5","HIP","datasource",1,42,113.273,1.69e-13,"*",0.73,2.873e-12
"6","IPC","datasource",1,42,2.696,0.108,"",0.06,1
"7","ITC","datasource",1,31,50.749,5.26e-08,"*",0.621,8.942e-07
"8","M1C","datasource",1,31,0.444,0.51,"",0.014,1
"9","MD","datasource",1,42,179.907,8.91e-17,"*",0.811,1.5147e-15
"10","MFC","datasource",1,42,68.088,2.5e-10,"*",0.618,4.25e-09
"11","MSC","datasource",1,9,863.834,2.98e-10,"*",0.99,5.066e-09
"12","OFC","datasource",1,31,91.02,9.74e-11,"*",0.746,1.6558e-09
"13","S1C","datasource",1,31,11.761,0.002,"*",0.275,0.034
"14","STC","datasource",1,42,43.801,5.12e-08,"*",0.51,8.704e-07
"15","STR","datasource",1,42,0.037,0.849,"",0.00087,1
"16","V1C","datasource",1,42,7.97,0.007,"*",0.159,0.119
"17","VFC","datasource",1,42,71.677,1.26e-10,"*",0.631,2.142e-09
