"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,42,125.238,3.51e-14,"*",0.749,5.616e-13
"2","AMY","datasource",1,42,162.671,4.91e-16,"*",0.795,7.856e-15
"3","CBC","datasource",1,53,102.289,5.66e-14,"*",0.659,9.056e-13
"4","DFC","datasource",1,42,11.471,0.002,"*",0.215,0.032
"5","HIP","datasource",1,42,305.54,6.94e-21,"*",0.879,1.1104e-19
"6","IPC","datasource",1,53,13.38,0.000586,"*",0.202,0.009376
"7","ITC","datasource",1,53,49.988,3.48e-09,"*",0.485,5.568e-08
"8","M1C","datasource",1,42,174.124,1.56e-16,"*",0.806,2.496e-15
"9","MD","datasource",1,53,71.359,2.17e-11,"*",0.574,3.472e-10
"10","MFC","datasource",1,42,58.735,1.66e-09,"*",0.583,2.656e-08
"11","OFC","datasource",1,42,27.986,4.13e-06,"*",0.4,6.608e-05
"12","S1C","datasource",1,53,0.696,0.408,"",0.013,1
"13","STC","datasource",1,53,11.113,0.002,"*",0.173,0.032
"14","STR","datasource",1,42,106.326,4.46e-13,"*",0.717,7.136e-12
"15","V1C","datasource",1,53,9.827,0.003,"*",0.156,0.048
"16","VFC","datasource",1,53,63.881,1.15e-10,"*",0.547,1.84e-09
