"freq","group"
0.99401,"desMartin"
0.978235,"desMartin"
0.976637,"desMartin"
0.976637,"desMartin"
0.971446,"desMartin"
0.997804,"desMartin"
0.971446,"desMartin"
0.971446,"desMartin"
0.976637,"desMartin"
0.971446,"desMartin"
0.971446,"desMartin"
0.971446,"desMartin"
0.962859,"desMartin"
0.962859,"desMartin"
0.968051,"desMartin"
0.967851,"desMartin"
0.967851,"desMartin"
0.967851,"desMartin"
0.967652,"desMartin"
0.967452,"desMartin"
0.979832,"desMartin"
0.998802,"desMartin"
0.998802,"desMartin"
0.979832,"desMartin"
0.998802,"desMartin"
0.977436,"desMartin"
0.990415,"desMartin"
0.990216,"desMartin"
0.964257,"desMartin"
0.964058,"desMartin"
0.964058,"desMartin"
0.964058,"desMartin"
1,"desMartin"
0.917133,"desMartin"
0.917133,"desMartin"
0.917133,"desMartin"
0.916733,"desMartin"
0.916534,"desMartin"
0.986222,"desMartin"
0.96226,"desMartin"
1,"desMartin"
1,"desMartin"
1,"desMartin"
1,"desMartin"
1,"desMartin"
1,"desMartin"
0.986222,"desMartin"
0.985423,"desMartin"
0.986222,"desMartin"
1,"desMartin"
0.942093,"desMartin"
0.942492,"desMartin"
0.978634,"desMartin"
0.999401,"desMartin"
0.929513,"desMartin"
0.925319,"desMartin"
0.946086,"desMartin"
0.954073,"desMartin"
0.953874,"desMartin"
0.921326,"desMartin"
0.92472,"desMartin"
0.92472,"desMartin"
0.991214,"desMartin"
0.924521,"desMartin"
0.913738,"desMartin"
0.927716,"desMartin"
0.928115,"desMartin"
0.928115,"desMartin"
0.94369,"desMartin"
0.942093,"desMartin"
0.983227,"desMartin"
0.918331,"desMartin"
0.918331,"desMartin"
0.918131,"desMartin"
0.918331,"desMartin"
0.91873,"desMartin"
0.91893,"desMartin"
0.952276,"desMartin"
0.919129,"desMartin"
0.951677,"desMartin"
0.991613,"desMartin"
0.954273,"desMartin"
0.953874,"desMartin"
0.954073,"desMartin"
0.954073,"desMartin"
0.950479,"desMartin"
0.949481,"desMartin"
0.949281,"desMartin"
0.949281,"desMartin"
0.934704,"desMartin"
0.963458,"desMartin"
0.903155,"desMartin"
0.977835,"desMartin"
0.989417,"desMartin"
0.990615,"desMartin"
0.940695,"desMartin"
0.956669,"desMartin"
0.955871,"desMartin"
0.956669,"desMartin"
0.95647,"desMartin"
0.940495,"desMartin"
0.925919,"desMartin"
0.925919,"desMartin"
0.932907,"desMartin"
0.946286,"desMartin"
0.947484,"desMartin"
0.947484,"desMartin"
0.947484,"desMartin"
0.947484,"desMartin"
0.901957,"desMartin"
0.946885,"desMartin"
0.946885,"desMartin"
0.959665,"desMartin"
0.964856,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966054,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966254,"desMartin"
0.966054,"desMartin"
0.946486,"desMartin"
0.946286,"desMartin"
0.944489,"desMartin"
0.944489,"desMartin"
0.94389,"desMartin"
0.94389,"desMartin"
0.951278,"desMartin"
0.951677,"desMartin"
0.950879,"desMartin"
0.951278,"desMartin"
