"","Structure","window","log2pvalAVG"
"1","Amygdala","chr_1",-130.4417819632
"2","Cerebellum","chr_1",-174.705825799088
"3","Hippocampus","chr_1",-16.6950381479677
"4","Mediodorsal Nucleus of the Thalamus","chr_1",-902.837090682937
"5","Neocortex","chr_1",-16.6950381479677
"6","Striatum","chr_1",-305.457498386032
"7","Amygdala","chr_3",-9.9710543026319
"8","Cerebellum","chr_3",-2.32192809488736
"9","Hippocampus","chr_3",-9.97105430263306
"10","Mediodorsal Nucleus of the Thalamus","chr_3",-159.555164876047
"11","Neocortex","chr_3",-50.142615904328
"12","Striatum","chr_3",-2.32192809488736
"13","Amygdala","chr_7",-26.7381133998964
"14","Cerebellum","chr_7",-Inf
"15","Hippocampus","chr_7",-28.4681174472596
"16","Mediodorsal Nucleus of the Thalamus","chr_7",-613.502405384792
"17","Neocortex","chr_7",-279.128617609321
"18","Striatum","chr_7",-27.255680406887
"19","Amygdala","chr_8",-18.617033281177
"20","Cerebellum","chr_8",-478.760147106964
"21","Hippocampus","chr_8",-258.096958318281
"22","Mediodorsal Nucleus of the Thalamus","chr_8",-235.691088189008
"23","Neocortex","chr_8",-18.617033281177
"24","Striatum","chr_8",-235.691088189008
